S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
9.0,0.0,69.0,9.0,18.0,171.0,55.0,18.0,45.0,0.0,30.0,36.0,9.0,9.0,30.0,57.0,18.0,36.07692307692308,1939.917159763313,9.0,64.5,27.571428571428573,33.0,24.0
11.1,0.0,66.6,11.1,17.1,155.7,52.2,17.1,45.0,0.0,30.1,32.4,9.0,8.1,28.8,63.9,24.0,34.41538461538462,1770.4118343195262,11.1,59.85,26.542857142857144,36.0,26.4
13.2,0.0,64.2,13.2,16.2,140.4,49.4,16.2,45.0,0.0,30.2,28.8,9.0,7.2,27.6,70.8,30.0,32.753846153846155,1600.9065088757393,13.2,55.2,25.514285714285716,39.0,28.8
15.3,0.0,61.8,15.3,15.3,125.1,46.6,15.3,45.0,0.0,30.3,25.2,9.0,6.3,26.4,77.7,36.0,31.092307692307692,1431.4011834319522,15.3,50.55,24.485714285714288,42.0,31.2
17.4,0.0,59.4,17.4,14.4,109.8,43.8,14.4,45.0,0.0,30.4,21.6,9.0,5.4,25.2,84.6,42.0,29.430769230769233,1261.8958579881653,17.4,45.9,23.457142857142856,45.0,33.6
19.5,0.0,57.0,19.5,13.5,94.5,41.0,13.5,45.0,0.0,30.5,18.0,9.0,4.5,24.0,91.5,48.0,27.76923076923077,1092.3905325443784,19.5,41.25,22.42857142857143,48.0,36.0
21.6,0.0,54.6,21.6,12.6,79.19999999999999,38.2,12.6,45.0,0.0,30.6,14.399999999999999,9.0,3.5999999999999996,22.8,98.4,54.0,26.107692307692307,922.8852071005914,21.6,36.599999999999994,21.4,51.0,38.4
23.700000000000003,0.0,52.2,23.700000000000003,11.7,63.89999999999999,35.400000000000006,11.7,45.0,0.0,30.7,10.8,9.0,2.7,21.6,105.30000000000001,60.0,24.446153846153848,753.3798816568044,23.700000000000003,31.949999999999996,20.37142857142857,54.0,40.8
25.8,0.0,49.8,25.8,10.8,48.599999999999994,32.6,10.8,45.0,0.0,30.8,7.199999999999999,9.0,1.7999999999999998,20.4,112.2,66.0,22.784615384615385,583.8745562130175,25.8,27.299999999999997,19.34285714285714,57.0,43.2
27.900000000000002,0.0,47.400000000000006,27.900000000000002,9.9,33.29999999999998,29.8,9.9,45.0,0.0,30.9,3.6000000000000014,9.0,0.9000000000000004,19.200000000000003,119.1,72.0,21.123076923076923,414.3692307692306,27.900000000000002,22.65,18.314285714285713,60.0,45.599999999999994
30.0,0.0,45.0,30.0,9.0,18.0,27.0,9.0,45.0,0.0,31.0,0.0,9.0,0.0,18.0,126.0,78.0,19.46153846153846,244.86390532544385,30.0,18.0,17.285714285714285,63.0,48.0
29.1,0.9,43.2,30.0,8.1,20.4,27.9,8.1,42.7,3.4,31.2,10.5,9.0,3.3,17.1,121.2,75.3,20.346153846153843,286.75266272189356,29.55,18.15,18.97142857142857,62.25,46.2
28.2,1.8,41.4,30.0,7.2,22.8,28.8,7.2,40.4,6.8,31.4,21.0,9.0,6.6,16.2,116.4,72.6,21.23076923076923,328.64142011834326,29.1,18.3,20.65714285714286,61.5,44.4
27.3,2.7,39.6,30.0,6.3,25.2,29.7,6.3,38.1,10.2,31.6,31.5,9.0,9.899999999999999,15.3,111.6,69.9,22.115384615384613,370.530177514793,28.65,18.45,22.34285714285714,60.75,42.6
26.4,3.6,37.8,30.0,5.4,27.6,30.6,5.4,35.8,13.6,31.8,42.0,9.0,13.2,14.4,106.8,67.2,23.0,412.41893491124273,28.2,18.6,24.02857142857143,60.0,40.8
25.5,4.5,36.0,30.0,4.5,30.0,31.5,4.5,33.5,17.0,32.0,52.5,9.0,16.5,13.5,102.0,64.5,23.884615384615383,454.30769230769243,27.75,18.75,25.714285714285715,59.25,39.0
24.6,5.4,34.2,30.0,3.5999999999999996,32.4,32.4,3.5999999999999996,31.200000000000003,20.4,32.2,63.0,9.0,19.799999999999997,12.6,97.2,61.8,24.769230769230766,496.1964497041422,27.3,18.9,27.400000000000002,58.5,37.2
23.7,6.3,32.4,30.0,2.7,34.8,33.3,2.7,28.900000000000002,23.8,32.4,73.5,9.0,23.099999999999998,11.7,92.4,59.099999999999994,25.653846153846153,538.0852071005919,26.85,19.05,29.08571428571429,57.75,35.4
22.8,7.2,30.6,30.0,1.7999999999999998,37.2,34.2,1.7999999999999998,26.6,27.2,32.6,84.0,9.0,26.4,10.8,87.6,56.4,26.538461538461537,579.9739644970416,26.4,19.2,30.771428571428572,57.0,33.6
21.9,8.1,28.8,30.0,0.9000000000000004,39.599999999999994,35.1,0.9000000000000004,24.3,30.599999999999998,32.8,94.5,9.0,29.7,9.9,82.80000000000001,53.7,27.423076923076923,621.8627218934913,25.95,19.35,32.45714285714286,56.25,31.8
21.0,9.0,27.0,30.0,0.0,42.0,36.0,0.0,22.0,34.0,33.0,105.0,9.0,33.0,9.0,78.0,51.0,28.307692307692307,663.751479289941,25.5,19.5,34.142857142857146,55.5,30.0
19.8,9.0,26.1,28.8,0.9,41.1,37.8,0.0,20.7,31.5,31.3,107.7,9.0,33.9,10.8,73.2,52.2,27.976923076923075,710.4071005917161,24.3,19.275,34.0,53.55,31.5
18.6,9.0,25.2,27.6,1.8,40.2,39.6,0.0,19.4,29.0,29.6,110.4,9.0,34.8,12.6,68.4,53.4,27.646153846153844,757.0627218934912,23.1,19.05,33.85714285714286,51.6,33.0
17.4,9.0,24.3,26.4,2.7,39.3,41.4,0.0,18.1,26.5,27.9,113.1,9.0,35.7,14.4,63.6,54.6,27.315384615384616,803.7183431952665,21.9,18.825,33.714285714285715,49.65,34.5
16.2,9.0,23.4,25.2,3.6,38.4,43.2,0.0,16.8,24.0,26.2,115.8,9.0,36.6,16.2,58.8,55.8,26.984615384615385,850.3739644970416,20.7,18.6,33.57142857142858,47.7,36.0
15.0,9.0,22.5,24.0,4.5,37.5,45.0,0.0,15.5,21.5,24.5,118.5,9.0,37.5,18.0,54.0,57.0,26.653846153846153,897.0295857988167,19.5,18.375,33.42857142857143,45.75,37.5
13.8,9.0,21.6,22.8,5.4,36.6,46.8,0.0,14.2,19.0,22.8,121.2,9.0,38.4,19.8,49.2,58.2,26.323076923076922,943.6852071005918,18.3,18.15,33.285714285714285,43.8,39.0
12.6,9.0,20.7,21.6,6.3,35.7,48.6,0.0,12.9,16.5,21.1,123.9,9.0,39.3,21.6,44.4,59.4,25.99230769230769,990.3408284023669,17.1,17.925,33.142857142857146,41.85,40.5
11.4,9.0,19.8,20.4,7.2,34.8,50.4,0.0,11.6,14.0,19.4,126.6,9.0,40.2,23.4,39.6,60.6,25.661538461538463,1036.9964497041422,15.9,17.7,33.0,39.9,42.0
10.200000000000001,9.0,18.9,19.200000000000003,8.1,33.9,52.2,0.0,10.299999999999999,11.5,17.700000000000003,129.3,9.0,41.1,25.2,34.800000000000004,61.8,25.33076923076923,1083.6520710059172,14.700000000000001,17.475,32.85714285714286,37.95,43.5
9.0,9.0,18.0,18.0,9.0,33.0,54.0,0.0,9.0,9.0,16.0,132.0,9.0,42.0,27.0,30.0,63.0,25.0,1130.3076923076924,13.5,17.25,32.714285714285715,36.0,45.0
9.0,9.0,17.1,18.0,9.0,29.7,54.0,1.3,9.0,9.0,14.4,132.0,9.0,42.9,26.1,33.6,61.8,24.653846153846153,1135.501775147929,13.5,16.2,32.67142857142857,38.25,43.95
9.0,9.0,16.2,18.0,9.0,26.4,54.0,2.6,9.0,9.0,12.8,132.0,9.0,43.8,25.2,37.2,60.6,24.307692307692307,1140.6958579881657,13.5,15.15,32.628571428571426,40.5,42.9
9.0,9.0,15.3,18.0,9.0,23.1,54.0,3.9000000000000004,9.0,9.0,11.2,132.0,9.0,44.7,24.3,40.8,59.4,23.961538461538463,1145.8899408284024,13.5,14.1,32.58571428571429,42.75,41.85
9.0,9.0,14.4,18.0,9.0,19.8,54.0,5.2,9.0,9.0,9.6,132.0,9.0,45.6,23.4,44.4,58.2,23.615384615384617,1151.084023668639,13.5,13.05,32.542857142857144,45.0,40.8
9.0,9.0,13.5,18.0,9.0,16.5,54.0,6.5,9.0,9.0,8.0,132.0,9.0,46.5,22.5,48.0,57.0,23.26923076923077,1156.2781065088757,13.5,12.0,32.5,47.25,39.75
9.0,9.0,12.6,18.0,9.0,13.200000000000003,54.0,7.800000000000001,9.0,9.0,6.399999999999999,132.0,9.0,47.4,21.6,51.6,55.8,22.923076923076923,1161.4721893491126,13.5,10.95,32.457142857142856,49.5,38.7
9.0,9.0,11.7,18.0,9.0,9.900000000000002,54.0,9.1,9.0,9.0,4.799999999999999,132.0,9.0,48.3,20.7,55.2,54.6,22.576923076923077,1166.6662721893492,13.5,9.899999999999999,32.41428571428571,51.75,37.65
9.0,9.0,10.8,18.0,9.0,6.600000000000001,54.0,10.4,9.0,9.0,3.1999999999999993,132.0,9.0,49.2,19.8,58.8,53.4,22.230769230769234,1171.860355029586,13.5,8.85,32.371428571428574,54.0,36.6
9.0,9.0,9.9,18.0,9.0,3.3000000000000007,54.0,11.700000000000001,9.0,9.0,1.5999999999999996,132.0,9.0,50.1,18.9,62.4,52.2,21.884615384615387,1177.0544378698226,13.5,7.799999999999999,32.32857142857143,56.25,35.55
9.0,9.0,9.0,18.0,9.0,0.0,54.0,13.0,9.0,9.0,0.0,132.0,9.0,51.0,18.0,66.0,51.0,21.53846153846154,1182.2485207100592,13.5,6.75,32.285714285714285,58.5,34.5
9.9,12.0,8.1,19.2,9.9,0.0,54.0,12.6,9.6,10.8,1.0,126.3,8.5,46.8,19.2,60.3,49.8,21.684615384615388,1109.2852071005918,14.55,7.5,31.82857142857143,53.55,34.5
10.8,15.0,7.2,20.4,10.8,0.0,54.0,12.2,10.2,12.6,2.0,120.6,8.0,42.6,20.4,54.6,48.6,21.83076923076923,1036.3218934911242,15.6,8.25,31.37142857142857,48.6,34.5
11.7,18.0,6.3,21.6,11.7,0.0,54.0,11.8,10.8,14.4,3.0,114.9,7.5,38.4,21.6,48.9,47.4,21.97692307692308,963.3585798816569,16.65,9.0,30.914285714285715,43.65,34.5
12.6,21.0,5.4,22.8,12.6,0.0,54.0,11.4,11.4,16.2,4.0,109.2,7.0,34.2,22.8,43.2,46.2,22.123076923076923,890.3952662721894,17.7,9.75,30.457142857142856,38.7,34.5
13.5,24.0,4.5,24.0,13.5,0.0,54.0,11.0,12.0,18.0,5.0,103.5,6.5,30.0,24.0,37.5,45.0,22.26923076923077,817.4319526627219,18.75,10.5,30.0,33.75,34.5
14.4,27.0,3.5999999999999996,25.2,14.4,0.0,54.0,10.6,12.6,19.8,6.0,97.8,6.0,25.799999999999997,25.2,31.799999999999997,43.8,22.415384615384617,744.4686390532545,19.8,11.25,29.542857142857144,28.799999999999997,34.5
15.3,30.0,2.7,26.4,15.3,0.0,54.0,10.2,13.2,21.6,7.0,92.1,5.5,21.599999999999998,26.4,26.1,42.6,22.56153846153846,671.505325443787,20.85,12.0,29.085714285714285,23.85,34.5
16.2,33.0,1.7999999999999998,27.6,16.2,0.0,54.0,9.8,13.8,23.4,8.0,86.4,5.0,17.4,27.6,20.4,41.4,22.70769230769231,598.5420118343195,21.9,12.75,28.62857142857143,18.9,34.5
17.1,36.0,0.9000000000000004,28.799999999999997,17.1,0.0,54.0,9.4,14.399999999999999,25.2,9.0,80.69999999999999,4.5,13.199999999999996,28.799999999999997,14.699999999999996,40.2,22.853846153846153,525.578698224852,22.950000000000003,13.5,28.17142857142857,13.949999999999996,34.5
18.0,39.0,0.0,30.0,18.0,0.0,54.0,9.0,15.0,27.0,10.0,75.0,4.0,9.0,30.0,9.0,39.0,23.0,452.61538461538464,24.0,14.25,27.714285714285715,9.0,34.5
16.2,38.1,6.9,27.0,23.1,0.0,51.7,9.0,20.4,24.3,11.1,75.0,3.6,11.4,31.2,9.0,39.0,23.56923076923077,496.498224852071,21.6,17.025,27.871428571428574,10.2,35.1
