S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
90.6,87.6,81.6,114.6,0.0,63.6,30.6,48.8,117.6,106.8,0.0,50.4,96.8,36.0,78.6,57.6,75.0,68.38461538461539,1726.14674556213,102.6,58.2,64.42857142857143,46.8,76.8
81.3,90.3,81.3,121.8,0.0,61.8,28.8,43.9,118.8,107.4,0.0,52.2,99.9,33.0,82.80000000000001,55.8,66.0,68.26923076923077,1712.6769230769228,101.55,58.35,64.42857142857143,44.400000000000006,74.4
72.0,93.0,81.0,129.0,0.0,60.0,27.0,39.0,120.0,108.0,0.0,54.0,103.0,30.0,87.0,54.0,57.0,68.15384615384616,1699.2071005917157,100.5,58.5,64.42857142857143,42.0,72.0
75.0,91.2,82.2,126.9,0.0,55.8,32.4,39.0,117.0,103.2,0.0,59.7,101.7,32.1,90.9,52.8,62.4,68.00769230769231,1675.7999999999997,100.95,57.3,64.71428571428572,42.45,76.65
78.0,89.4,83.4,124.8,0.0,51.6,37.8,39.0,114.0,98.4,0.0,65.4,100.4,34.2,94.8,51.6,67.8,67.86153846153847,1652.392899408284,101.4,56.1,65.0,42.9,81.3
81.0,87.6,84.6,122.7,0.0,47.4,43.2,39.0,111.0,93.6,0.0,71.1,99.1,36.3,98.7,50.4,73.2,67.71538461538462,1628.985798816568,101.85,54.9,65.28571428571429,43.35,85.95
84.0,85.8,85.8,120.6,0.0,43.2,48.6,39.0,108.0,88.8,0.0,76.8,97.8,38.4,102.6,49.2,78.6,67.56923076923077,1605.578698224852,102.3,53.7,65.57142857142857,43.8,90.6
87.0,84.0,87.0,118.5,0.0,39.0,54.0,39.0,105.0,84.0,0.0,82.5,96.5,40.5,106.5,48.0,84.0,67.42307692307693,1582.1715976331361,102.75,52.5,65.85714285714286,44.25,95.25
90.0,82.2,88.2,116.4,0.0,34.8,59.400000000000006,39.0,102.0,79.2,0.0,88.2,95.2,42.6,110.4,46.8,89.4,67.27692307692308,1558.76449704142,103.2,51.3,66.14285714285715,44.7,99.9
93.0,80.4,89.4,114.3,0.0,30.599999999999998,64.80000000000001,39.0,99.0,74.4,0.0,93.9,93.9,44.7,114.3,45.6,94.80000000000001,67.13076923076923,1535.357396449704,103.65,50.1,66.42857142857143,45.15,104.55000000000001
96.0,78.6,90.6,112.2,0.0,26.4,70.2,39.0,96.0,69.6,0.0,99.6,92.6,46.8,118.2,44.4,100.2,66.98461538461538,1511.950295857988,104.1,48.9,66.71428571428572,45.6,109.2
99.0,76.8,91.8,110.1,0.0,22.199999999999996,75.6,39.0,93.0,64.80000000000001,0.0,105.30000000000001,91.3,48.900000000000006,122.1,43.2,105.6,66.83846153846154,1488.5431952662723,104.55,47.7,67.0,46.05,113.85
102.0,75.0,93.0,108.0,0.0,18.0,81.0,39.0,90.0,60.0,0.0,111.0,90.0,51.0,126.0,42.0,111.0,66.6923076923077,1465.1360946745563,105.0,46.5,67.28571428571429,46.5,118.5
99.9,74.7,96.0,101.1,0.0,17.1,81.0,40.3,90.0,60.0,0.0,111.0,90.0,50.7,122.4,43.8,112.8,66.23846153846154,1469.712426035503,100.5,46.95,67.47142857142858,47.25,117.6
97.8,74.4,99.0,94.2,0.0,16.2,81.0,41.6,90.0,60.0,0.0,111.0,90.0,50.4,118.8,45.6,114.6,65.78461538461539,1474.2887573964497,96.0,47.4,67.65714285714286,48.0,116.7
95.7,74.1,102.0,87.3,0.0,15.3,81.0,42.9,90.0,60.0,0.0,111.0,90.0,50.1,115.2,47.4,116.4,65.33076923076923,1478.8650887573965,91.5,47.85,67.84285714285714,48.75,115.8
93.6,73.8,105.0,80.4,0.0,14.4,81.0,44.2,90.0,60.0,0.0,111.0,90.0,49.8,111.6,49.2,118.2,64.87692307692308,1483.4414201183433,87.0,48.3,68.02857142857142,49.5,114.9
91.5,73.5,108.0,73.5,0.0,13.5,81.0,45.5,90.0,60.0,0.0,111.0,90.0,49.5,108.0,51.0,120.0,64.42307692307692,1488.01775147929,82.5,48.75,68.21428571428572,50.25,114.0
89.4,73.2,111.0,66.6,0.0,12.6,81.0,46.8,90.0,60.0,0.0,111.0,90.0,49.2,104.4,52.8,121.8,63.96923076923077,1492.5940828402368,78.0,49.2,68.4,51.0,113.1
87.3,72.9,114.0,59.699999999999996,0.0,11.7,81.0,48.1,90.0,60.0,0.0,111.0,90.0,48.9,100.8,54.6,123.6,63.51538461538462,1497.1704142011836,73.5,49.65,68.58571428571429,51.75,112.2
85.2,72.6,117.0,52.8,0.0,10.8,81.0,49.4,90.0,60.0,0.0,111.0,90.0,48.6,97.2,56.4,125.4,63.06153846153846,1501.7467455621304,69.0,50.1,68.77142857142857,52.5,111.3
83.1,72.3,120.0,45.9,0.0,9.9,81.0,50.7,90.0,60.0,0.0,111.0,90.0,48.3,93.6,58.2,127.2,62.607692307692304,1506.323076923077,64.5,50.55,68.95714285714286,53.25,110.4
81.0,72.0,123.0,39.0,0.0,9.0,81.0,52.0,90.0,60.0,0.0,111.0,90.0,48.0,90.0,60.0,129.0,62.15384615384615,1510.8994082840238,60.0,51.0,69.14285714285714,54.0,109.5
84.0,72.6,118.2,36.0,0.0,11.1,81.0,51.6,97.0,58.5,0.0,108.1,90.9,46.8,90.9,57.0,125.7,62.230769230769226,1564.0781065088759,60.0,50.475,69.58571428571429,51.9,108.3
87.0,73.2,113.4,33.0,0.0,13.2,81.0,51.2,104.0,57.0,0.0,105.2,91.8,45.6,91.8,54.0,122.4,62.30769230769231,1617.256804733728,60.0,49.95,70.02857142857142,49.8,107.1
90.0,73.8,108.6,30.0,0.0,15.3,81.0,50.8,111.0,55.5,0.0,102.3,92.7,44.4,92.7,51.0,119.1,62.38461538461539,1670.43550295858,60.0,49.425,70.47142857142856,47.7,105.9
93.0,74.4,103.8,27.0,0.0,17.4,81.0,50.4,118.0,54.0,0.0,99.4,93.6,43.2,93.6,48.0,115.8,62.46153846153846,1723.614201183432,60.0,48.9,70.91428571428571,45.6,104.7
96.0,75.0,99.0,24.0,0.0,19.5,81.0,50.0,125.0,52.5,0.0,96.5,94.5,42.0,94.5,45.0,112.5,62.53846153846153,1776.792899408284,60.0,48.375,71.35714285714286,43.5,103.5
99.0,75.6,94.2,21.0,0.0,21.6,81.0,49.6,132.0,51.0,0.0,93.6,95.4,40.8,95.4,42.0,109.2,62.61538461538461,1829.971597633136,60.0,47.85,71.8,41.4,102.3
102.0,76.2,89.4,18.0,0.0,23.700000000000003,81.0,49.2,139.0,49.5,0.0,90.7,96.3,39.6,96.3,39.0,105.9,62.69230769230769,1883.150295857988,60.0,47.325,72.24285714285713,39.3,101.1
105.0,76.8,84.6,15.0,0.0,25.8,81.0,48.8,146.0,48.0,0.0,87.8,97.2,38.4,97.2,36.0,102.6,62.76923076923077,1936.3289940828402,60.0,46.8,72.68571428571428,37.2,99.9
108.0,77.4,79.80000000000001,12.0,0.0,27.900000000000002,81.0,48.4,153.0,46.5,0.0,84.9,98.1,37.2,98.1,33.0,99.3,62.84615384615384,1989.5076923076922,60.0,46.275,73.12857142857143,35.099999999999994,98.7
111.0,78.0,75.0,9.0,0.0,30.0,81.0,48.0,160.0,45.0,0.0,82.0,99.0,36.0,99.0,30.0,96.0,62.92307692307692,2042.6863905325442,60.0,45.75,73.57142857142857,33.0,97.5
106.8,76.8,78.0,13.2,0.0,35.4,81.4,48.0,153.9,42.6,0.0,77.4,99.9,39.6,93.3,31.2,89.1,62.569230769230764,1966.7644970414199,60.0,47.55,71.88571428571429,35.4,91.2
102.6,75.6,81.0,17.4,0.0,40.8,81.8,48.0,147.8,40.2,0.0,72.8,100.8,43.2,87.6,32.4,82.2,62.215384615384615,1890.8426035502957,60.0,49.35,70.2,37.8,84.9
98.4,74.4,84.0,21.6,0.0,46.2,82.2,48.0,141.7,37.8,0.0,68.2,101.7,46.8,81.9,33.6,75.3,61.86153846153846,1814.9207100591716,60.0,51.15,68.5142857142857,40.2,78.6
94.2,73.2,87.0,25.8,0.0,51.6,82.6,48.0,135.6,35.4,0.0,63.6,102.6,50.4,76.2,34.8,68.4,61.50769230769231,1738.9988165680472,60.0,52.95,66.82857142857142,42.6,72.3
90.0,72.0,90.0,30.0,0.0,57.0,83.0,48.0,129.5,33.0,0.0,59.0,103.5,54.0,70.5,36.0,61.5,61.15384615384615,1663.0769230769229,60.0,54.75,65.14285714285714,45.0,66.0
85.8,70.8,93.0,34.2,0.0,62.400000000000006,83.4,48.0,123.4,30.6,0.0,54.400000000000006,104.4,57.6,64.8,37.2,54.599999999999994,60.8,1587.1550295857987,60.0,56.55,63.457142857142856,47.4,59.7
81.6,69.6,96.0,38.400000000000006,0.0,67.80000000000001,83.8,48.0,117.30000000000001,28.2,0.0,49.800000000000004,105.3,61.2,59.1,38.4,47.699999999999996,60.44615384615385,1511.2331360946746,60.0,58.35,61.77142857142857,49.8,53.4
77.4,68.4,99.0,42.6,0.0,73.2,84.2,48.0,111.2,25.8,0.0,45.2,106.2,64.8,53.4,39.6,40.8,60.09230769230769,1435.3112426035502,60.0,60.15,60.08571428571429,52.2,47.1
73.19999999999999,67.2,102.0,46.800000000000004,0.0,78.6,84.6,48.0,105.1,23.400000000000002,0.0,40.6,107.1,68.4,47.699999999999996,40.8,33.9,59.73846153846154,1359.3893491124259,60.0,61.95,58.4,54.599999999999994,40.800000000000004
69.0,66.0,105.0,51.0,0.0,84.0,85.0,48.0,99.0,21.0,0.0,36.0,108.0,72.0,42.0,42.0,27.0,59.38461538461539,1283.4674556213017,60.0,63.75,56.714285714285715,57.0,34.5
71.4,69.6,108.9,52.8,0.0,586.8,82.8,54.4,99.0,21.0,0.0,36.9,108.0,73.2,39.9,40.8,30.0,99.35384615384616,181753.32781065092,62.1,191.325,57.44285714285714,57.0,34.95
73.8,73.2,112.8,54.6,0.0,1089.6,80.6,60.8,99.0,21.0,0.0,37.8,108.0,74.4,37.8,39.6,33.0,139.32307692307694,362223.1881656805,64.2,318.9,58.17142857142857,57.0,35.4
76.2,76.8,116.7,56.4,0.0,1592.4,78.4,67.2,99.0,21.0,0.0,38.7,108.0,75.6,35.7,38.4,36.0,179.2923076923077,542693.0485207102,66.3,446.475,58.9,57.0,35.85
78.6,80.4,120.6,58.2,0.0,2095.2,76.2,73.6,99.0,21.0,0.0,39.6,108.0,76.8,33.6,37.2,39.0,219.2615384615385,723162.9088757398,68.4,574.05,59.628571428571426,57.0,36.3
81.0,84.0,124.5,60.0,0.0,2598.0,74.0,80.0,99.0,21.0,0.0,40.5,108.0,78.0,31.5,36.0,42.0,259.2307692307693,903632.7692307694,70.5,701.625,60.35714285714286,57.0,36.75
83.4,87.6,128.4,61.8,0.0,3100.8,71.8,86.4,99.0,21.0,0.0,41.4,108.0,79.2,29.4,34.8,45.0,299.20000000000005,1084102.629585799,72.6,829.2,61.08571428571429,57.0,37.2
85.8,91.2,132.3,63.6,0.0,3603.6,69.6,92.80000000000001,99.0,21.0,0.0,42.3,108.0,80.4,27.299999999999997,33.6,48.0,339.1692307692308,1264572.4899408286,74.7,956.775,61.81428571428572,57.0,37.65
88.2,94.8,136.2,65.4,0.0,4106.4,67.4,99.2,99.0,21.0,0.0,43.2,108.0,81.6,25.2,32.4,51.0,379.13846153846157,1445042.3502958582,76.8,1084.35,62.542857142857144,57.0,38.1
90.6,98.4,140.1,67.2,0.0,4609.2,65.2,105.6,99.0,21.0,0.0,44.1,108.0,82.8,23.099999999999998,31.200000000000003,54.0,419.10769230769233,1625512.2106508878,78.9,1211.925,63.27142857142857,57.0,38.55
93.0,102.0,144.0,69.0,0.0,5112.0,63.0,112.0,99.0,21.0,0.0,45.0,108.0,84.0,21.0,30.0,57.0,459.0769230769231,1805982.0710059174,81.0,1339.5,64.0,57.0,39.0
100.2,102.3,135.3,69.9,0.0,4962.6,68.4,113.1,97.5,22.9,0.0,43.2,110.8,81.9,21.0,32.4,56.1,448.1692307692308,1714627.756213018,85.05,1300.05,65.12857142857143,57.15,38.55
107.4,102.6,126.6,70.8,0.0,4813.2,73.8,114.2,96.0,24.8,0.0,41.4,113.6,79.8,21.0,34.8,55.2,437.26153846153846,1623273.4414201186,89.1,1260.6,66.25714285714285,57.3,38.1
114.6,102.9,117.9,71.7,0.0,4663.8,79.2,115.3,94.5,26.7,0.0,39.6,116.4,77.7,21.0,37.2,54.3,426.3538461538462,1531919.1266272191,93.15,1221.15,67.38571428571429,57.45,37.65
121.8,103.2,109.2,72.6,0.0,4514.4,84.6,116.4,93.0,28.6,0.0,37.8,119.2,75.6,21.0,39.6,53.4,415.44615384615383,1440564.8118343197,97.2,1181.7,68.51428571428572,57.6,37.2
129.0,103.5,100.5,73.5,0.0,4365.0,90.0,117.5,91.5,30.5,0.0,36.0,122.0,73.5,21.0,42.0,52.5,404.53846153846155,1349210.4970414203,101.25,1142.25,69.64285714285714,57.75,36.75
136.2,103.8,91.80000000000001,74.4,0.0,4215.6,95.4,118.6,90.0,32.4,0.0,34.2,124.8,71.4,21.0,44.4,51.6,393.63076923076926,1257856.1822485207,105.3,1102.8,70.77142857142857,57.9,36.3
143.4,104.1,83.10000000000001,75.3,0.0,4066.2,100.80000000000001,119.7,88.5,34.3,0.0,32.4,127.6,69.3,21.0,46.8,50.7,382.7230769230769,1166501.8674556212,109.35,1063.35,71.9,58.05,35.85
