S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
0.0,0.0,0.0,0.0,30.0,0.0,9.0,0.0,15.0,4.0,0.0,4.0,4.0,18.0,60.0,0.0,30.0,5.076923076923077,70.6863905325444,0.0,7.5,5.142857142857143,9.0,45.0
0.0,0.9,0.0,0.0,27.0,0.0,9.4,0.0,14.4,3.6,0.0,4.5,29.4,16.2,62.7,0.0,29.1,6.861538461538461,526.2710059171598,0.0,6.975,8.757142857142856,8.1,45.9
0.0,1.8,0.0,0.0,24.0,0.0,9.8,0.0,13.8,3.2,0.0,5.0,54.8,14.4,65.4,0.0,28.2,8.646153846153846,981.855621301775,0.0,6.45,12.37142857142857,7.2,46.8
0.0,2.7,0.0,0.0,21.0,0.0,10.2,0.0,13.2,2.8,0.0,5.5,80.19999999999999,12.6,68.1,0.0,27.3,10.430769230769231,1437.4402366863906,0.0,5.925,15.985714285714284,6.3,47.7
0.0,3.6,0.0,0.0,18.0,0.0,10.6,0.0,12.6,2.4,0.0,6.0,105.6,10.8,70.8,0.0,26.4,12.215384615384615,1893.0248520710059,0.0,5.4,19.599999999999998,5.4,48.6
0.0,4.5,0.0,0.0,15.0,0.0,11.0,0.0,12.0,2.0,0.0,6.5,131.0,9.0,73.5,0.0,25.5,14.0,2348.609467455621,0.0,4.875,23.21428571428571,4.5,49.5
0.0,5.4,0.0,0.0,12.0,0.0,11.4,0.0,11.4,1.5999999999999996,0.0,7.0,156.39999999999998,7.199999999999999,76.2,0.0,24.6,15.784615384615385,2804.1940828402367,0.0,4.35,26.828571428571426,3.5999999999999996,50.4
0.0,6.3,0.0,0.0,9.0,0.0,11.8,0.0,10.8,1.1999999999999997,0.0,7.5,181.79999999999998,5.4,78.9,0.0,23.7,17.56923076923077,3259.7786982248517,0.0,3.8249999999999997,30.44285714285714,2.7,51.3
0.0,7.2,0.0,0.0,6.0,0.0,12.2,0.0,10.2,0.7999999999999998,0.0,8.0,207.2,3.5999999999999996,81.6,0.0,22.8,19.353846153846156,3715.3633136094672,0.0,3.3,34.05714285714286,1.7999999999999998,52.2
0.0,8.1,0.0,0.0,3.0,0.0,12.6,0.0,9.600000000000001,0.3999999999999999,0.0,8.5,232.6,1.8000000000000007,84.3,0.0,21.9,21.138461538461538,4170.947928994083,0.0,2.7749999999999995,37.67142857142857,0.9000000000000004,53.1
0.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,9.0,0.0,0.0,9.0,258.0,0.0,87.0,0.0,21.0,22.923076923076923,4626.532544378698,0.0,2.25,41.285714285714285,0.0,54.0
0.0,8.1,0.9,0.0,0.0,0.0,13.5,0.0,9.0,0.0,0.0,8.1,258.0,0.0,84.6,0.0,24.0,22.892307692307693,4628.502958579881,0.0,2.25,41.22857142857143,0.0,54.3
0.0,7.2,1.8,0.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,7.2,258.0,0.0,82.2,0.0,27.0,22.861538461538462,4630.473372781065,0.0,2.25,41.17142857142857,0.0,54.6
0.0,6.3,2.7,0.0,0.0,0.0,14.5,0.0,9.0,0.0,0.0,6.3,258.0,0.0,79.8,0.0,30.0,22.83076923076923,4632.443786982249,0.0,2.25,41.114285714285714,0.0,54.9
