S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
11.55,14.475000000000001,16.425,19.200000000000003,2.925,13.350000000000001,17.575,2.25,22.174999999999997,12.9,14.05,47.95,7.074999999999999,15.075,28.8,10.725,20.625,15.53076923076923,445.84644970414206,15.515,16.345,14.2,18.80625
12.0,15.0,15.75,20.25,2.25,12.75,16.75,2.25,23.25,12.0,13.75,49.5,6.75,15.0,29.25,9.75,21.0,15.557692307692308,463.10059171597635,15.6,16.3,14.25,18.75
12.3,16.275,14.85,19.725,3.75,12.15,16.875,2.45,23.125,12.0,13.675,49.5,6.75,15.0,28.275,10.65,21.15,15.648076923076923,476.36005917159764,16.0,16.28,14.008333333333333,18.76875
12.6,17.55,13.95,19.2,5.25,11.55,17.0,2.65,23.0,12.0,13.6,49.5,6.75,15.0,27.3,11.55,21.3,15.73846153846154,489.619526627219,16.4,16.26,13.766666666666667,18.7875
12.9,18.825,13.05,18.675,6.75,10.95,17.125,2.85,22.875,12.0,13.525,49.5,6.75,15.0,26.325,12.45,21.45,15.828846153846154,502.8789940828403,16.8,16.240000000000002,13.525,18.80625
13.2,20.1,12.15,18.15,8.25,10.35,17.25,3.05,22.75,12.0,13.45,49.5,6.75,15.0,25.35,13.35,21.6,15.919230769230769,516.1384615384616,17.2,16.220000000000002,13.283333333333333,18.825
13.5,21.375,11.25,17.625,9.75,9.75,17.375,3.25,22.625,12.0,13.375,49.5,6.75,15.0,24.375,14.25,21.75,16.009615384615383,529.3979289940829,17.6,16.200000000000003,13.041666666666668,18.84375
13.8,22.65,10.35,17.1,11.25,9.15,17.5,3.45,22.5,12.0,13.3,49.5,6.75,15.0,23.4,15.15,21.9,16.099999999999998,542.6573964497043,18.0,16.18,12.8,18.8625
14.1,23.924999999999997,9.45,16.575,12.75,8.55,17.625,3.6500000000000004,22.375,12.0,13.225,49.5,6.75,15.0,22.425,16.05,22.05,16.190384615384616,555.9168639053255,18.400000000000002,16.16,12.558333333333334,18.88125
14.4,25.2,8.55,16.05,14.25,7.95,17.75,3.85,22.25,12.0,13.15,49.5,6.75,15.0,21.45,16.95,22.2,16.28076923076923,569.1763313609468,18.8,16.14,12.316666666666666,18.9
