S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
87.0,70.0,112.0,34.0,27.0,117.0,84.0,110.0,103.66666666666667,74.0,66.0,72.0,81.0,50.0,102.0,100.0,98.0,79.82051282051282,1937.1597633136091,79.33333333333333,82.45833333333334,70.0,87.5
87.0,68.9,113.6,36.4,27.0,116.5,84.6,111.3,100.5,74.2,66.53333333333333,72.83333333333333,81.0,50.2,98.6,93.6,97.4,80.02820512820513,1926.3278106508874,79.96666666666667,82.46666666666667,70.36666666666666,84.95
87.0,67.8,115.2,38.8,27.0,116.0,85.2,112.6,97.33333333333334,74.4,67.06666666666666,73.66666666666667,81.0,50.4,95.2,87.2,96.8,80.23589743589743,1915.4958579881654,80.6,82.47500000000001,70.73333333333333,82.4
87.0,66.7,116.8,41.2,27.0,115.5,85.8,113.9,94.16666666666667,74.6,67.6,74.5,81.0,50.6,91.8,80.8,96.2,80.44358974358974,1904.6639053254437,81.23333333333333,82.48333333333335,71.1,79.85
87.0,65.6,118.4,43.6,27.0,115.0,86.4,115.2,91.0,74.8,68.13333333333333,75.33333333333333,81.0,50.8,88.4,74.4,95.6,80.65128205128205,1893.8319526627217,81.86666666666666,82.49166666666667,71.46666666666667,77.3
87.0,64.5,120.0,46.0,27.0,114.5,87.0,116.5,87.83333333333334,75.0,68.66666666666666,76.16666666666666,81.0,51.0,85.0,68.0,95.0,80.85897435897436,1883.0,82.5,82.5,71.83333333333333,74.75
87.0,63.4,121.6,48.4,27.0,114.0,87.6,117.8,84.66666666666667,75.2,69.2,77.0,81.0,51.2,81.6,61.599999999999994,94.4,81.06666666666666,1872.1680473372783,83.13333333333334,82.50833333333334,72.19999999999999,72.2
87.0,62.3,123.2,50.8,27.0,113.5,88.2,119.1,81.5,75.4,69.73333333333333,77.83333333333333,81.0,51.4,78.2,55.199999999999996,93.8,81.27435897435898,1861.3360946745563,83.76666666666667,82.51666666666668,72.56666666666666,69.65
87.0,61.2,124.8,53.2,27.0,113.0,88.8,120.4,78.33333333333334,75.6,70.26666666666667,78.66666666666666,81.0,51.6,74.8,48.8,93.2,81.48205128205129,1850.5041420118346,84.4,82.525,72.93333333333332,67.1
87.0,60.1,126.4,55.599999999999994,27.0,112.5,89.4,121.7,75.16666666666667,75.8,70.8,79.5,81.0,51.8,71.4,42.4,92.6,81.68974358974359,1839.6721893491126,85.03333333333333,82.53333333333333,73.3,64.55
87.0,59.0,128.0,58.0,27.0,112.0,90.0,123.0,72.0,76.0,71.33333333333333,80.33333333333333,81.0,52.0,68.0,36.0,92.0,81.8974358974359,1828.8402366863909,85.66666666666667,82.54166666666667,73.66666666666666,62.0
85.9,62.1,125.8,61.2,28.2,108.5,89.06666666666666,122.76666666666667,71.4,75.33333333333333,71.89999999999999,79.6,81.3,52.8,67.3,37.9,90.4,81.77435897435898,1807.8351084812628,85.2,82.52916666666667,73.61666666666666,62.1
84.8,65.2,123.6,64.4,29.4,105.0,88.13333333333334,122.53333333333333,70.8,74.66666666666667,72.46666666666667,78.86666666666666,81.6,53.6,66.6,39.8,88.8,81.65128205128205,1786.8299802761344,84.73333333333333,82.51666666666667,73.56666666666666,62.2
83.7,68.3,121.4,67.6,30.6,101.5,87.2,122.3,70.2,74.0,73.03333333333333,78.13333333333333,81.9,54.4,65.9,41.7,87.2,81.52820512820513,1765.8248520710063,84.26666666666667,82.50416666666668,73.51666666666665,62.3
82.6,71.4,119.2,70.8,31.8,98.0,86.26666666666667,122.06666666666666,69.6,73.33333333333333,73.6,77.39999999999999,82.2,55.2,65.2,43.6,85.6,81.40512820512821,1744.8197238658781,83.8,82.49166666666667,73.46666666666665,62.4
81.5,74.5,117.0,74.0,33.0,94.5,85.33333333333334,121.83333333333334,69.0,72.66666666666666,74.16666666666666,76.66666666666666,82.5,56.0,64.5,45.5,84.0,81.28205128205128,1723.81459566075,83.33333333333334,82.47916666666667,73.41666666666666,62.5
80.4,77.6,114.8,77.2,34.2,91.0,84.4,121.60000000000001,68.4,72.0,74.73333333333333,75.93333333333334,82.8,56.8,63.8,47.4,82.4,81.15897435897436,1702.8094674556216,82.86666666666667,82.46666666666667,73.36666666666666,62.6
79.3,80.7,112.6,80.4,35.4,87.5,83.46666666666667,121.36666666666667,67.8,71.33333333333333,75.3,75.2,83.1,57.6,63.1,49.3,80.8,81.03589743589744,1681.8043392504935,82.4,82.45416666666667,73.31666666666666,62.7
78.2,83.8,110.4,83.6,36.6,84.0,82.53333333333333,121.13333333333334,67.2,70.66666666666666,75.86666666666666,74.46666666666667,83.4,58.4,62.4,51.2,79.2,80.91282051282052,1660.7992110453654,81.93333333333334,82.44166666666668,73.26666666666665,62.8
77.1,86.9,108.2,86.8,37.8,80.5,81.60000000000001,120.9,66.6,70.0,76.43333333333334,73.73333333333333,83.7,59.2,61.7,53.099999999999994,77.6,80.7897435897436,1639.794082840237,81.46666666666667,82.42916666666667,73.21666666666665,62.9
76.0,90.0,106.0,90.0,39.0,77.0,80.66666666666667,120.66666666666667,66.0,69.33333333333333,77.0,73.0,84.0,60.0,61.0,55.0,76.0,80.66666666666667,1618.788954635109,81.0,82.41666666666667,73.16666666666666,63.0
77.0,94.0,109.0,89.4,40.7,77.9,81.9,121.66666666666667,68.53333333333333,69.6,77.9,72.2,83.1,58.6,60.2,54.2,78.8,81.76153846153846,1612.625246548324,81.43333333333334,83.8875,73.74999999999999,62.95
78.0,98.0,112.0,88.8,42.4,78.8,83.13333333333334,122.66666666666667,71.06666666666666,69.86666666666666,78.8,71.4,82.2,57.2,59.4,53.4,81.6,82.85641025641026,1606.4615384615388,81.86666666666666,85.35833333333333,74.33333333333333,62.9
79.0,102.0,115.0,88.2,44.1,79.7,84.36666666666667,123.66666666666667,73.6,70.13333333333333,79.7,70.6,81.3,55.8,58.6,52.6,84.4,83.95128205128205,1600.2978303747536,82.3,86.82916666666667,74.91666666666666,62.85
80.0,106.0,118.0,87.6,45.8,80.6,85.60000000000001,124.66666666666667,76.13333333333333,70.39999999999999,80.6,69.8,80.4,54.4,57.8,51.8,87.2,85.04615384615384,1594.1341222879687,82.73333333333333,88.3,75.5,62.8
81.0,110.0,121.0,87.0,47.5,81.5,86.83333333333334,125.66666666666666,78.66666666666666,70.66666666666666,81.5,69.0,79.5,53.0,57.0,51.0,90.0,86.14102564102564,1587.9704142011838,83.16666666666666,89.77083333333334,76.08333333333333,62.75
82.0,114.0,124.0,86.4,49.2,82.4,88.06666666666666,126.66666666666666,81.19999999999999,70.93333333333334,82.4,68.2,78.6,51.6,56.2,50.2,92.8,87.23589743589743,1581.8067061143986,83.6,91.24166666666667,76.66666666666666,62.7
83.0,118.0,127.0,85.8,50.9,83.3,89.3,127.66666666666666,83.73333333333333,71.2,83.3,67.4,77.7,50.2,55.4,49.4,95.6,88.33076923076922,1575.6429980276134,84.03333333333333,92.7125,77.25,62.65
