S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
153,144,135,21,162,234,99,264,21,87,99,126,90,144,18,129,111,125.76923076923077,4574.0236686390535,87.0,168.75,112.28571428571429,136.5,64.5
90,171,126,294,132,156,153,156,21,87,126,126,90,108,9,171,168,132.92307692307693,3640.686390532544,192.0,146.25,108.42857142857143,139.5,88.5
114,219,66,318,192,69,153,78,82,111,88,90,63,84,42,129,150,126.38461538461539,5289.467455621301,216.0,136.5,95.0,106.5,96.0
105,93,36,30,150,57,85,78,27,69,51,84,120,111,30,39,120,75.76923076923077,1218.6390532544378,67.5,84.0,73.42857142857143,75.0,75.0
126,57,126,51,45,36,108,193,27,69,45,141,120,84,18,18,129,88.0,2381.538461538462,88.5,66.0,100.42857142857143,51.0,73.5
93,60,117,51,75,66,276,129,18,49,39,105,78,75,39,30,60,88.92307692307692,3838.2248520710054,72.0,79.5,99.14285714285714,52.5,49.5
36,63,84,57,54,87,204,129,9,9,45,57,27,27,30,27,30,66.23076923076923,2573.2544378698235,46.5,72.0,68.57142857142857,27.0,30.0
18,42,321,36,27,9,81,118,9,9,51,57,27,57,0,117,30,61.92307692307692,6508.686390532546,27.0,99.75,50.285714285714285,87.0,15.0
9,18,165,18,39,9,81,90,15,21,63,51,22,48,30,90,30,46.23076923076923,1857.869822485207,13.5,57.75,49.0,69.0,30.0
63,105,57,9,108,18,54,90,45,9,75,36,9,0,36,27,9,52.15384615384615,1159.6686390532545,36.0,72.0,45.42857142857143,13.5,22.5
63,105,27,51,78,48,18,64,45,9,69,18,9,21,36,18,9,46.46153846153846,795.4792899408285,57.0,64.5,33.142857142857146,19.5,22.5
9,66,54,51,18,63,150,183,36,72,63,18,31,168,36,18,9,62.61538461538461,2384.6982248520712,30.0,50.25,79.0,93.0,22.5
36,42,36,0,9,33,207,183,51,21,85,9,54,18,36,9,18,58.92307692307692,3845.609467455621,18.0,30.0,87.14285714285714,13.5,27.0
18,0,36,42,9,9,102,115,51,21,108,9,54,0,9,57,18,44.15384615384615,1502.5917159763312,30.0,13.5,65.71428571428571,28.5,13.5
9,0,60,18,9,180,102,18,25,15,69,22,54,0,63,57,9,44.69230769230769,2327.5976331360953,13.5,62.25,43.57142857142857,28.5,36.0
9,0,69,9,18,171,55,18,45,0,30,36,9,9,30,57,18,36.07692307692308,1939.917159763313,9.0,64.5,27.571428571428573,33.0,24.0
30,0,45,30,9,18,27,9,45,0,31,0,9,0,18,126,78,19.46153846153846,244.86390532544385,30.0,18.0,17.285714285714285,63.0,48.0
21,9,27,30,0,42,36,0,22,34,33,105,9,33,9,78,51,28.307692307692307,663.751479289941,25.5,19.5,34.142857142857146,55.5,30.0
9,9,18,18,9,33,54,0,9,9,16,132,9,42,27,30,63,25.0,1130.3076923076924,13.5,17.25,32.714285714285715,36.0,45.0
9,9,9,18,9,0,54,13,9,9,0,132,9,51,18,66,51,21.53846153846154,1182.2485207100592,13.5,6.75,32.285714285714285,58.5,34.5
18,39,0,30,18,0,54,9,15,27,10,75,4,9,30,9,39,23.0,452.61538461538464,24.0,14.25,27.714285714285715,9.0,34.5
0,30,69,0,69,0,31,9,69,0,21,75,0,33,42,9,39,28.692307692307693,891.4437869822486,0.0,42.0,29.285714285714285,21.0,40.5
18,0,30,18,102,21,27,13,69,0,10,66,0,54,21,0,39,28.76923076923077,903.7159763313608,18.0,38.25,26.428571428571427,27.0,30.0
69,0,48,33,0,21,18,9,34,0,0,18,0,0,0,0,18,19.23076923076923,436.3313609467456,51.0,17.25,11.285714285714286,0.0,9.0
