S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
234,192,177,120,0,27,135,198,603,207,0,123,192,27,9,90,0,169.84615384615384,21456.745562130174,177.0,99.0,208.28571428571428,58.5,4.5
180,222,183,69,0,174,135,129,580,190,0,130,163,42,21,78,42,165.76923076923077,18754.792899408287,124.5,144.75,189.57142857142858,60.0,31.5
249,171,132,147,0,228,189,129,441,171,0,156,135,39,51,81,39,165.23076923076923,11229.869822485207,198.0,132.75,174.42857142857142,60.0,45.0
240,99,102,291,159,90,135,151,441,171,0,210,135,105,45,93,69,171.07692307692307,10958.840236686392,265.5,112.5,177.57142857142858,99.0,57.0
171,252,114,237,228,51,228,153,381,135,0,378,186,84,57,39,51,193.3846153846154,11275.775147928993,204.0,161.25,208.71428571428572,61.5,54.0
78,189,66,93,237,87,108,153,189,102,0,285,210,27,48,45,9,138.23076923076923,5897.715976331361,85.5,144.75,149.57142857142858,36.0,28.5
102,69,123,102,348,30,63,126,189,102,0,285,210,72,9,54,69,134.53846153846155,9129.940828402368,102.0,142.5,139.28571428571428,63.0,39.0
30,18,144,72,150,60,63,120,133,124,0,214,174,54,18,57,93,100.15384615384616,3873.05325443787,51.0,93.0,118.28571428571429,55.5,55.5
51,18,57,51,159,90,99,120,87,81,0,99,183,30,36,63,39,84.23076923076923,2426.4852071005917,51.0,81.0,95.57142857142857,46.5,37.5
69,93,138,72,195,42,90,121,87,81,0,63,183,72,18,51,39,94.92307692307692,2663.147928994083,70.5,117.0,89.28571428571429,61.5,28.5
87,63,210,63,153,9,99,123,103,61,0,99,123,36,51,27,60,91.76923076923077,2908.1775147928993,75.0,108.75,86.85714285714286,31.5,55.5
87,18,96,36,69,117,117,123,210,51,0,81,45,36,60,60,90,80.76923076923077,2780.9467455621307,61.5,75.0,89.57142857142857,48.0,75.0
132,54,57,39,69,147,144,85,210,51,0,81,45,39,60,60,111,85.6923076923077,3020.520710059172,85.5,81.75,88.0,49.5,85.5
186,162,96,57,123,81,144,60,174,85,0,81,96,39,9,42,60,103.46153846153847,2573.3254437869823,121.5,115.5,91.42857142857143,40.5,34.5
288,114,84,69,63,60,126,60,135,102,0,147,120,18,57,9,45,105.23076923076923,4268.0236686390535,178.5,80.25,98.57142857142857,13.5,51.0
99,99,63,72,54,51,126,100,135,102,0,120,120,18,114,30,27,87.76923076923077,1340.9467455621302,85.5,66.75,100.42857142857143,24.0,70.5
72,78,75,39,27,96,135,174,151,88,0,90,141,27,117,21,0,89.6923076923077,2369.597633136095,55.5,69.0,111.28571428571429,24.0,58.5
156,171,66,27,84,30,162,174,90,63,0,57,138,36,81,0,90,93.6923076923077,3337.1360946745563,91.5,87.75,97.71428571428571,18.0,85.5
111,159,69,60,165,75,63,112,90,63,0,57,138,69,93,9,99,89.38461538461539,1986.3905325443786,85.5,117.0,74.71428571428571,39.0,96.0
48,60,108,75,105,135,63,39,76,42,0,82,91,51,69,30,36,71.07692307692308,1138.6863905325445,61.5,102.0,56.142857142857146,40.5,52.5
36,27,156,93,90,72,90,39,126,18,0,129,45,93,39,48,48,70.84615384615384,2117.8224852071003,64.5,86.25,63.857142857142854,70.5,43.5
117,63,153,147,93,21,99,90,126,18,0,36,45,84,18,102,120,77.53846153846153,2386.863905325444,132.0,82.5,59.142857142857146,93.0,69.0
141,126,114,60,18,81,90,153,99,49,0,81,67,93,51,72,195,83.0,1880.1538461538462,100.5,84.75,77.0,82.5,123.0
93,81,27,102,66,81,72,153,39,60,0,108,99,105,42,30,174,75.46153846153847,1416.2485207100592,97.5,63.75,75.85714285714286,67.5,108.0
72,18,84,162,87,51,108,91,39,60,60,108,99,42,9,51,84,79.92307692307692,1236.07100591716,117.0,60.0,80.71428571428571,46.5,46.5
