S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
9,0,69,9,18,171,55,18,45,0,30,36,9,9,30,57,18,36.07692307692308,1939.917159763313,9.0,64.5,27.571428571428573,33.0,24.0
30,0,45,30,9,18,27,9,45,0,31,0,9,0,18,126,78,19.46153846153846,244.86390532544385,30.0,18.0,17.285714285714285,63.0,48.0
21,9,27,30,0,42,36,0,22,34,33,105,9,33,9,78,51,28.307692307692307,663.751479289941,25.5,19.5,34.142857142857146,55.5,30.0
9,9,18,18,9,33,54,0,9,9,16,132,9,42,27,30,63,25.0,1130.3076923076924,13.5,17.25,32.714285714285715,36.0,45.0
9,9,9,18,9,0,54,13,9,9,0,132,9,51,18,66,51,21.53846153846154,1182.2485207100592,13.5,6.75,32.285714285714285,58.5,34.5
18,39,0,30,18,0,54,9,15,27,10,75,4,9,30,9,39,23.0,452.61538461538464,24.0,14.25,27.714285714285715,9.0,34.5
0,30,69,0,69,0,31,9,69,0,21,75,0,33,42,9,39,28.692307692307693,891.4437869822486,0.0,42.0,29.285714285714285,21.0,40.5
18,0,30,18,102,21,27,13,69,0,10,66,0,54,21,0,39,28.76923076923077,903.7159763313608,18.0,38.25,26.428571428571427,27.0,30.0
69,0,48,33,0,21,18,9,34,0,0,18,0,0,0,0,18,19.23076923076923,436.3313609467456,51.0,17.25,11.285714285714286,0.0,9.0
9,0,48,33,39,0,0,9,0,0,21,18,36,0,0,9,18,16.384615384615383,280.5443786982249,21.0,21.75,12.0,4.5,9.0
0,0,0,93,39,264,0,13,0,0,42,18,36,9,0,105,0,38.84615384615385,4907.822485207102,46.5,75.75,15.571428571428571,57.0,0.0
30,0,9,60,0,732,0,18,103,112,30,46,108,0,9,105,0,96.0,35288.769230769234,45.0,185.25,59.57142857142857,52.5,4.5
102,36,39,18,0,1158,4,18,381,531,18,294,246,9,36,9,0,218.84615384615384,100509.97633136094,60.0,308.25,213.14285714285714,9.0,18.0
294,228,111,162,48,1398,63,118,381,531,246,546,246,9,39,54,0,336.3076923076923,117501.44378698224,228.0,446.25,304.42857142857144,31.5,19.5
294,279,108,594,96,1626,240,993,769,721,474,801,489,99,0,432,18,575.6923076923077,164125.9053254438,444.0,527.25,641.0,265.5,9.0
576,750,84,795,177,2310,369,993,1596,924,529,1035,1005,99,0,264,39,857.1538461538462,325677.97633136093,685.5,830.25,921.5714285714286,181.5,19.5
693,510,276,690,1017,2034,564,879,1596,924,585,1035,1005,18,0,252,426,908.3076923076923,204152.05917159768,691.5,959.25,941.1428571428571,135.0,213.0
843,978,522,1005,696,1182,564,1218,1447,924,769,1057,852,87,0,345,453,927.4615384615385,64038.24852071006,924.0,844.5,975.8571428571429,216.0,226.5
927,786,879,969,702,714,676,1218,903,771,954,1095,777,105,42,594,156,874.6923076923077,23724.67455621302,948.0,770.25,913.4285714285714,349.5,99.0
738,1098,597,1008,651,666,762,903,903,771,862,780,777,189,18,321,249,808.9230769230769,18809.14792899408,873.0,753.0,822.5714285714286,255.0,133.5
642,765,1299,816,852,462,474,561,847,903,771,861,744,186,0,261,198,769.0,43370.307692307695,729.0,844.5,737.2857142857143,223.5,99.0
888,690,927,711,1008,294,957,561,603,1056,534,807,708,138,0,240,315,749.5384615384615,44267.325443786984,799.5,729.75,746.5714285714286,189.0,157.5
777,921,870,924,849,426,627,669,603,1056,297,807,708,144,0,246,345,733.3846153846154,40999.31360946746,850.5,766.5,681.0,195.0,172.5
528,477,711,969,807,513,627,666,529,703,381,670,786,261,9,360,324,643.6153846153846,23282.69822485207,748.5,627.0,623.1428571428571,310.5,166.5
444,630,606,744,609,498,570,666,699,384,465,501,480,201,27,288,303,561.2307692307693,10853.254437869822,594.0,585.75,537.8571428571429,244.5,165.0
594,858,504,426,609,306,342,612,699,384,597,468,480,192,18,240,270,529.1538461538462,21719.822485207103,510.0,569.25,511.7142857142857,216.0,144.0
588,765,516,354,528,243,390,468,675,399,729,408,424,195,60,309,171,499.0,22076.307692307695,471.0,513.0,499.0,252.0,115.5
450,429,516,390,609,153,372,468,414,264,528,273,342,195,201,321,360,400.61538461538464,13966.082840236686,420.0,426.75,380.14285714285717,258.0,280.5
294,240,432,279,585,228,300,393,414,264,327,273,342,216,222,183,240,336.2307692307692,9000.639053254437,286.5,371.25,330.42857142857144,199.5,231.0
300,264,546,147,366,195,300,285,289,246,280,361,402,435,93,117,177,306.2307692307692,9068.023668639053,223.5,342.75,309.0,276.0,135.0
255,321,450,309,222,258,268,285,207,291,234,489,240,411,48,87,315,294.53846153846155,6627.940828402367,282.0,312.75,287.7142857142857,249.0,181.5
291,750,276,327,444,285,219,304,207,291,226,516,240,195,27,87,339,336.61538461538464,21419.775147928995,309.0,438.75,286.14285714285717,141.0,183.0
258,558,279,102,429,231,282,345,148,322,219,312,202,222,36,207,243,283.61538461538464,12933.159763313606,180.0,374.25,261.42857142857144,214.5,139.5
234,582,297,72,648,177,351,345,162,183,348,168,174,168,9,372,240,287.7692307692308,26394.1775147929,153.0,426.0,247.28571428571428,270.0,124.5
225,273,213,84,687,252,363,306,162,183,477,168,174,63,0,213,246,274.38461538461536,23499.159763313608,154.5,356.25,261.85714285714283,138.0,123.0
228,90,132,168,336,318,363,174,160,235,312,183,129,51,30,117,216,217.53846153846155,7299.786982248523,198.0,219.0,222.28571428571428,84.0,123.0
174,114,195,153,123,147,289,174,75,192,147,207,54,162,30,207,336,157.23076923076923,3363.4082840236697,163.5,144.75,162.57142857142858,184.5,183.0
144,210,255,300,228,204,273,219,75,192,154,147,54,150,9,141,291,188.84615384615384,4851.05325443787,222.0,224.25,159.14285714285714,145.5,150.0
210,204,153,324,159,159,273,135,69,109,162,90,78,243,9,111,183,163.46153846153845,5163.940828402367,267.0,168.75,130.85714285714286,177.0,96.0
168,408,87,138,84,102,144,135,54,93,123,72,72,195,9,147,168,129.23076923076923,7513.562130177517,153.0,170.25,99.0,171.0,88.5
36,183,66,72,66,48,135,136,54,93,84,72,72,141,9,96,168,85.92307692307692,1593.7633136094673,54.0,90.75,92.28571428571429,118.5,88.5
51,57,180,75,84,9,135,108,69,55,81,139,120,66,9,135,114,89.46153846153847,1917.325443786982,63.0,82.5,101.0,100.5,61.5
114,27,144,51,45,84,136,108,51,99,78,150,150,51,9,63,39,95.15384615384616,1698.7455621301774,82.5,75.0,110.28571428571429,57.0,24.0
135,9,258,246,198,156,36,115,51,99,87,264,150,72,9,0,51,138.76923076923077,6559.5621301775145,190.5,155.25,114.57142857142857,36.0,30.0
42,33,228,234,315,84,201,30,114,63,96,345,84,72,18,63,102,143.76923076923077,10825.562130177515,138.0,165.0,133.28571428571428,67.5,60.0
81,66,63,66,162,27,117,30,96,432,87,189,45,99,27,75,48,112.38461538461539,10597.313609467457,73.5,79.5,142.28571428571428,87.0,37.5
39,171,54,60,87,18,126,69,96,432,78,189,45,96,27,63,48,112.61538461538461,10816.082840236688,49.5,82.5,147.85714285714286,79.5,37.5
72,180,87,51,9,18,126,108,75,225,112,130,45,48,39,138,21,95.23076923076923,3501.715976331361,61.5,73.5,117.28571428571429,93.0,30.0
48,33,57,54,57,42,99,108,72,18,147,81,18,21,30,105,21,64.15384615384616,1271.8224852071005,51.0,47.25,77.57142857142857,63.0,25.5
18,42,27,105,27,87,18,114,72,18,178,72,18,144,27,39,27,61.23076923076923,2263.100591715977,61.5,45.75,70.0,91.5,27.0
72,18,18,75,57,102,18,132,40,34,210,18,31,102,39,39,48,63.46153846153846,2972.5562130177514,73.5,48.75,69.0,70.5,43.5
27,18,60,126,48,108,36,132,27,51,136,27,105,9,9,78,51,69.3076923076923,1873.1360946745563,76.5,58.5,73.42857142857143,43.5,30.0
48,9,87,147,78,51,36,70,27,51,63,27,105,27,42,123,42,61.46153846153846,1260.7100591715975,97.5,56.25,54.142857142857146,75.0,42.0
60,9,27,21,138,18,36,9,18,40,46,31,84,18,213,78,0,41.30769230769231,1190.0591715976334,40.5,48.0,37.714285714285715,48.0,106.5
135,18,36,0,9,9,36,9,18,9,30,45,0,0,45,9,21,27.23076923076923,1159.5621301775152,67.5,18.0,21.0,4.5,33.0
51,72,36,9,0,0,54,9,18,9,42,18,0,18,27,9,21,24.46153846153846,528.7100591715977,30.0,27.0,21.428571428571427,13.5,24.0
39,42,9,9,9,9,63,0,13,13,54,9,4,51,9,9,0,21.0,399.69230769230774,24.0,17.25,22.285714285714285,30.0,4.5
9,18,9,0,9,30,72,0,9,18,31,0,9,60,0,18,174,16.46153846153846,351.9408284023669,4.5,16.5,19.857142857142858,39.0,87.0
9,18,9,0,18,21,165,10,9,18,9,0,9,75,0,9,174,22.692307692307693,1726.8284023668639,4.5,16.5,31.428571428571427,42.0,87.0
21,42,9,9,48,0,165,0,4,9,13,9,36,33,0,0,9,28.076923076923077,1791.6094674556216,15.0,24.75,33.714285714285715,16.5,4.5
75,75,9,9,48,9,87,0,0,0,18,105,45,0,9,0,0,36.92307692307692,1308.9940828402366,42.0,35.25,36.42857142857143,0.0,4.5
9,75,48,0,9,9,9,10,0,0,19,150,45,18,21,21,9,29.46153846153846,1688.863905325444,4.5,35.25,33.285714285714285,19.5,15.0
9,42,57,9,9,0,45,30,0,0,21,54,22,60,39,21,60,22.923076923076923,399.30177514792905,9.0,27.0,24.571428571428573,40.5,49.5
0,0,102,9,18,0,45,30,0,9,10,9,93,27,39,0,51,25.0,1116.923076923077,4.5,30.0,28.0,13.5,45.0
0,0,192,0,18,0,0,15,0,9,0,9,93,18,18,0,30,25.846153846153847,2887.668639053255,0.0,52.5,18.0,9.0,24.0
0,21,0,0,9,21,0,0,0,4,4,9,46,18,30,0,42,8.76923076923077,168.63905325443784,0.0,12.75,9.0,9.0,36.0
