Beta-03
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2000/1/1,    0:0:32,     84.61,    0,         0.0000,         0.0000,       504,       165,        25,         7,         0,         0,         1,         4,         4,         1,         4,         4,     22.06,31.84,101531.17,-17.15
  2000/1/1,    0:0:42,     84.61,    0,         0.0000,         0.0000,       549,       173,        22,         0,         0,         0,         2,         3,         3,         2,         3,         3,     22.08,31.71,101530.69,-17.11
  2000/1/1,    0:0:52,     84.61,    0,         0.0000,         0.0000,       522,       166,        16,         0,         0,         0,         2,         2,         2,         2,         2,         2,     22.11,31.95,101528.59,-16.94
  2000/1/1,     0:1:6,     84.61,    0,         0.0000,         0.0000,       291,        90,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     22.15,31.68,101528.78,-16.95
  2000/1/1,    0:1:16,     84.61,    0,         0.0000,         0.0000,       402,       119,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1,     22.18,31.63,101526.73,-16.78
  2000/1/1,    0:1:26,     84.61,    0,         0.0000,         0.0000,       405,       127,        10,         0,         0,         0,         1,         1,         1,         1,         1,         1,     22.21,31.48,101526.06,-16.73
  2000/1/1,    0:1:36,     84.61,    0,         0.0000,         0.0000,       492,       144,        13,         0,         0,         0,         1,         2,         2,         1,         2,         2,     22.24,31.42,101529.16,-16.98
  2000/1/1,    0:1:46,     84.61,    0,         0.0000,         0.0000,       561,       158,        13,         0,         0,         0,         1,         2,         2,         1,         2,         2,     22.26,31.44,101527.69,-16.86
  2000/1/1,    0:1:56,     84.61,    0,         0.0000,         0.0000,       537,       162,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2,     22.29,31.61,101533.58,-17.35
  2000/1/1,     0:2:6,     84.61,    0,         0.0000,         0.0000,       585,       191,        12,         0,         0,         0,         2,         3,         3,         2,         3,         3,     22.30,31.88,101530.47,-17.09
  2000/1/1,    0:2:16,     84.61,    0,         0.0000,         0.0000,       540,       172,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2,     22.33,31.75,101534.00,-17.39
  2000/1/1,    0:2:26,     84.42,    0,         0.0000,         0.0000,       399,       130,        13,         0,         0,         0,         0,         1,         1,         0,         1,         1,     22.36,31.53,101532.08,-17.23
  2000/1/1,    0:2:36,     84.42,    0,         0.0000,         0.0000,       477,       156,        23,         0,         0,         0,         1,         2,         2,         1,         2,         2,     22.39,31.96,101534.62,-17.44
  2000/1/1,    0:2:46,     84.42,    0,         0.0000,         0.0000,       387,       125,        13,         0,         0,         0,         1,         1,         1,         1,         1,         1,     22.41,32.09,101538.30,-17.74
  2000/1/1,    0:2:56,     84.42,    0,         0.0000,         0.0000,       330,       104,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.44,31.49,101538.63,-17.77
