S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
102.0,117.0,84.0,36.0,63.0,225.0,90.0,228.0,193.0,126.0,108.0,99.0,108.0,105.0,126.0,168.0,30.0,121.46153846153847,3199.1715976331357,121.0,122.75,117.0,107.25
105.0,114.9,90.0,39.6,59.4,226.8,90.0,228.0,186.3,126.0,108.0,97.6,107.1,101.1,121.5,156.0,33.3,121.43846153846154,3200.8260355029583,123.8,121.6625,117.0,102.975
108.0,112.8,96.0,43.2,55.8,228.6,90.0,228.0,179.6,126.0,108.0,96.2,106.2,97.2,117.0,144.0,36.6,121.41538461538462,3202.4804733727806,126.6,120.575,117.0,98.7
111.0,110.7,102.0,46.8,52.2,230.4,90.0,228.0,172.9,126.0,108.0,94.8,105.3,93.3,112.5,132.0,39.9,121.3923076923077,3204.1349112426033,129.4,119.4875,117.0,94.425
114.0,108.6,108.0,50.4,48.6,232.2,90.0,228.0,166.2,126.0,108.0,93.4,104.4,89.4,108.0,120.0,43.2,121.36923076923077,3205.789349112426,132.2,118.4,117.0,90.15
117.0,106.5,114.0,54.0,45.0,234.0,90.0,228.0,159.5,126.0,108.0,92.0,103.5,85.5,103.5,108.0,46.5,121.34615384615384,3207.4437869822486,135.0,117.3125,117.0,85.875
120.0,104.4,120.0,57.6,41.4,235.8,90.0,228.0,152.8,126.0,108.0,90.6,102.6,81.6,99.0,96.0,49.8,121.32307692307693,3209.098224852071,137.8,116.225,117.0,81.6
123.0,102.3,126.0,61.2,37.8,237.6,90.0,228.0,146.1,126.0,108.0,89.2,101.7,77.7,94.5,84.0,53.099999999999994,121.3,3210.7526627218936,140.6,115.1375,117.0,77.32499999999999
126.0,100.2,132.0,64.8,34.2,239.4,90.0,228.0,139.4,126.0,108.0,87.8,100.8,73.8,90.0,72.0,56.4,121.27692307692307,3212.4071005917162,143.4,114.05,117.0,73.05
129.0,98.1,138.0,68.4,30.6,241.2,90.0,228.0,132.7,126.0,108.0,86.4,99.9,69.9,85.5,60.0,59.7,121.25384615384615,3214.0615384615385,146.2,112.9625,117.0,68.775
132.0,96.0,144.0,72.0,27.0,243.0,90.0,228.0,126.0,126.0,108.0,85.0,99.0,66.0,81.0,48.0,63.0,121.23076923076923,3215.715976331361,149.0,111.875,117.0,64.5
