S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
30.0,18.0,27.0,60.0,135.0,57.0,54.0,87.0,75.0,0.0,60.0,36.0,40.0,117.0,51.0,357.0,114.0,52.23076923076923,1089.8698224852071,49.8,59.0,45.0,159.75
33.0,20.1,27.9,60.3,124.2,57.0,54.9,87.0,75.0,0.0,61.6,34.2,40.5,114.3,48.9,349.5,108.6,51.97692307692308,1038.965680473373,51.059999999999995,56.76,45.53333333333333,155.325
36.0,22.2,28.8,60.6,113.4,57.0,55.8,87.0,75.0,0.0,63.2,32.4,41.0,111.6,46.8,342.0,103.2,51.723076923076924,988.0615384615385,52.32,54.52,46.06666666666667,150.9
39.0,24.3,29.7,60.9,102.6,57.0,56.7,87.0,75.0,0.0,64.8,30.6,41.5,108.9,44.7,334.5,97.8,51.46923076923077,937.1573964497043,53.58,52.28,46.6,146.475
42.0,26.4,30.6,61.2,91.8,57.0,57.6,87.0,75.0,0.0,66.4,28.8,42.0,106.2,42.6,327.0,92.4,51.215384615384615,886.2532544378698,54.839999999999996,50.04,47.13333333333333,142.05
45.0,28.5,31.5,61.5,81.0,57.0,58.5,87.0,75.0,0.0,68.0,27.0,42.5,103.5,40.5,319.5,87.0,50.96153846153847,835.3491124260356,56.099999999999994,47.8,47.66666666666667,137.625
48.0,30.6,32.4,61.8,70.19999999999999,57.0,59.4,87.0,75.0,0.0,69.6,25.2,43.0,100.8,38.4,312.0,81.6,50.70769230769231,784.4449704142013,57.36,45.56,48.2,133.2
51.0,32.7,33.3,62.1,59.39999999999999,57.0,60.3,87.0,75.0,0.0,71.2,23.4,43.5,98.1,36.3,304.5,76.19999999999999,50.45384615384616,733.540828402367,58.62,43.32,48.733333333333334,128.775
54.0,34.8,34.2,62.4,48.599999999999994,57.0,61.2,87.0,75.0,0.0,72.8,21.6,44.0,95.4,34.2,297.0,70.8,50.2,682.6366863905326,59.879999999999995,41.08,49.266666666666666,124.35
57.0,36.900000000000006,35.1,62.7,37.8,57.0,62.1,87.0,75.0,0.0,74.4,19.8,44.5,92.7,32.099999999999994,289.5,65.4,49.94615384615385,631.7325443786983,61.14,38.84,49.800000000000004,119.92500000000001
60.0,39.0,36.0,63.0,27.0,57.0,63.0,87.0,75.0,0.0,76.0,18.0,45.0,90.0,30.0,282.0,60.0,49.69230769230769,580.828402366864,62.4,36.6,50.333333333333336,115.5
69.3,39.3,36.9,60.9,28.8,57.9,68.4,86.1,79.2,0.0,77.7,18.0,45.0,86.7,32.4,253.8,59.7,51.34615384615385,697.9633136094675,64.8,37.32,52.300000000000004,108.15
78.6,39.6,37.8,58.8,30.6,58.8,73.8,85.2,83.4,0.0,79.4,18.0,45.0,83.4,34.8,225.6,59.4,53.0,815.0982248520711,67.2,38.04,54.266666666666666,100.8
87.9,39.9,38.7,56.7,32.4,59.7,79.2,84.3,87.6,0.0,81.1,18.0,45.0,80.1,37.2,197.4,59.1,54.65384615384615,932.2331360946746,69.6,38.76,56.233333333333334,93.45
97.2,40.2,39.6,54.6,34.2,60.6,84.6,83.4,91.8,0.0,82.8,18.0,45.0,76.8,39.6,169.2,58.8,56.30769230769231,1049.368047337278,72.0,39.48,58.2,86.1
106.5,40.5,40.5,52.5,36.0,61.5,90.0,82.5,96.0,0.0,84.5,18.0,45.0,73.5,42.0,141.0,58.5,57.96153846153846,1166.5029585798816,74.4,40.2,60.16666666666667,78.75
115.80000000000001,40.8,41.4,50.4,37.8,62.4,95.4,81.6,100.2,0.0,86.2,18.0,45.0,70.2,44.4,112.80000000000001,58.2,59.61538461538461,1283.6378698224853,76.80000000000001,40.92,62.13333333333333,71.4
125.10000000000001,41.1,42.3,48.3,39.6,63.3,100.80000000000001,80.7,104.4,0.0,87.9,18.0,45.0,66.9,46.8,84.6,57.9,61.26923076923077,1400.7727810650888,79.2,41.64,64.1,64.05000000000001
134.4,41.4,43.2,46.2,41.4,64.2,106.2,79.8,108.6,0.0,89.6,18.0,45.0,63.6,49.2,56.400000000000006,57.6,62.92307692307692,1517.9076923076923,81.60000000000001,42.36,66.06666666666666,56.7
143.7,41.7,44.1,44.099999999999994,43.2,65.1,111.6,78.9,112.80000000000001,0.0,91.3,18.0,45.0,60.3,51.599999999999994,28.200000000000017,57.3,64.57692307692307,1635.042603550296,84.0,43.08,68.03333333333333,49.35000000000001
153.0,42.0,45.0,42.0,45.0,66.0,117.0,78.0,117.0,0.0,93.0,18.0,45.0,57.0,54.0,0.0,57.0,66.23076923076923,1752.1775147928995,86.4,43.8,70.0,42.0
