S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
30.0,75.0,156.0,9.0,18.0,72.0,63.0,39.0,73.0,60.0,18.0,27.0,36.0,18.0,129.0,51.0,144.0,52.0,1389.6923076923078,37.0,60.875,39.0,85.5
35.1,74.7,147.0,11.1,19.8,69.9,63.0,39.0,70.2,60.0,19.0,28.8,36.0,20.1,120.0,47.7,141.9,51.815384615384616,1277.0130177514795,38.7,59.8125,39.5,82.425
40.2,74.4,138.0,13.2,21.6,67.8,63.0,39.0,67.4,60.0,20.0,30.6,36.0,22.2,111.0,44.4,139.8,51.63076923076923,1164.333727810651,40.4,58.75,40.0,79.35
45.3,74.1,129.0,15.3,23.4,65.7,63.0,39.0,64.6,60.0,21.0,32.4,36.0,24.3,102.0,41.1,137.7,51.44615384615385,1051.6544378698227,42.1,57.6875,40.5,76.275
50.4,73.8,120.0,17.4,25.2,63.6,63.0,39.0,61.8,60.0,22.0,34.2,36.0,26.4,93.0,37.8,135.6,51.261538461538464,938.9751479289943,43.8,56.625,41.0,73.2
55.5,73.5,111.0,19.5,27.0,61.5,63.0,39.0,59.0,60.0,23.0,36.0,36.0,28.5,84.0,34.5,133.5,51.07692307692308,826.2958579881658,45.5,55.5625,41.5,70.125
60.599999999999994,73.2,102.0,21.6,28.8,59.4,63.0,39.0,56.2,60.0,24.0,37.8,36.0,30.6,75.0,31.200000000000003,131.4,50.89230769230769,713.6165680473375,47.2,54.5,42.0,67.05
65.69999999999999,72.9,93.0,23.700000000000003,30.6,57.3,63.0,39.0,53.400000000000006,60.0,25.0,39.6,36.0,32.7,66.0,27.900000000000002,129.3,50.707692307692305,600.9372781065091,48.9,53.4375,42.5,63.974999999999994
70.8,72.6,84.0,25.8,32.4,55.2,63.0,39.0,50.6,60.0,26.0,41.4,36.0,34.8,57.0,24.6,127.2,50.52307692307692,488.2579881656807,50.6,52.375,43.0,60.9
75.9,72.3,75.0,27.900000000000002,34.2,53.099999999999994,63.0,39.0,47.8,60.0,27.0,43.2,36.0,36.900000000000006,48.0,21.3,125.1,50.33846153846154,375.57869822485225,52.3,51.3125,43.5,57.825
81.0,72.0,66.0,30.0,36.0,51.0,63.0,39.0,45.0,60.0,28.0,45.0,36.0,39.0,39.0,18.0,123.0,50.15384615384615,262.8994082840237,54.0,50.25,44.0,54.75
81.9,67.5,67.5,39.3,36.0,49.8,64.3,37.9,45.0,57.9,29.1,45.0,40.5,38.1,39.0,18.0,121.5,50.9,316.57159763313615,57.0,50.4625,43.5,54.15
82.8,63.0,69.0,48.6,36.0,48.6,65.6,36.8,45.0,55.8,30.2,45.0,45.0,37.2,39.0,18.0,120.0,51.646153846153844,370.2437869822486,60.0,50.675,43.0,53.55
83.7,58.5,70.5,57.900000000000006,36.0,47.4,66.9,35.7,45.0,53.7,31.3,45.0,49.5,36.3,39.0,18.0,118.5,52.39230769230769,423.9159763313611,63.0,50.8875,42.5,52.95
84.6,54.0,72.0,67.2,36.0,46.2,68.2,34.6,45.0,51.6,32.4,45.0,54.0,35.4,39.0,18.0,117.0,53.138461538461534,477.58816568047354,66.0,51.1,42.0,52.35
85.5,49.5,73.5,76.5,36.0,45.0,69.5,33.5,45.0,49.5,33.5,45.0,58.5,34.5,39.0,18.0,115.5,53.88461538461539,531.260355029586,69.0,51.3125,41.5,51.75
86.4,45.0,75.0,85.80000000000001,36.0,43.8,70.8,32.4,45.0,47.4,34.6,45.0,63.0,33.6,39.0,18.0,114.0,54.63076923076923,584.9325443786985,72.0,51.525,41.0,51.15
87.3,40.5,76.5,95.10000000000001,36.0,42.6,72.1,31.299999999999997,45.0,45.3,35.7,45.0,67.5,32.7,39.0,18.0,112.5,55.37692307692308,638.604733727811,75.0,51.7375,40.5,50.55
88.2,36.0,78.0,104.4,36.0,41.4,73.4,30.2,45.0,43.2,36.8,45.0,72.0,31.8,39.0,18.0,111.0,56.12307692307692,692.2769230769234,78.0,51.95,40.0,49.95
89.1,31.5,79.5,113.7,36.0,40.2,74.7,29.1,45.0,41.099999999999994,37.9,45.0,76.5,30.9,39.0,18.0,109.5,56.86923076923077,745.9491124260358,81.0,52.1625,39.5,49.35
90.0,27.0,81.0,123.0,36.0,39.0,76.0,28.0,45.0,39.0,39.0,45.0,81.0,30.0,39.0,18.0,108.0,57.61538461538461,799.6213017751483,84.0,52.375,39.0,48.75
90.9,30.0,83.1,123.6,36.9,40.8,76.5,34.5,43.2,40.2,39.6,44.1,81.0,27.9,39.0,24.3,109.2,58.8,804.7917159763316,85.1,53.6625,39.9,50.1
91.8,33.0,85.2,124.2,37.8,42.6,77.0,41.0,41.4,41.4,40.2,43.2,81.0,25.8,39.0,30.6,110.4,59.98461538461538,809.9621301775151,86.2,54.95,40.8,51.45
92.7,36.0,87.3,124.8,38.7,44.4,77.5,47.5,39.6,42.6,40.8,42.3,81.0,23.7,39.0,36.9,111.6,61.16923076923077,815.1325443786984,87.3,56.2375,41.7,52.8
93.6,39.0,89.4,125.4,39.6,46.2,78.0,54.0,37.8,43.8,41.4,41.4,81.0,21.6,39.0,43.2,112.8,62.353846153846156,820.3029585798819,88.4,57.525,42.6,54.15
94.5,42.0,91.5,126.0,40.5,48.0,78.5,60.5,36.0,45.0,42.0,40.5,81.0,19.5,39.0,49.5,114.0,63.53846153846154,825.4733727810652,89.5,58.8125,43.5,55.5
95.4,45.0,93.6,126.6,41.4,49.8,79.0,67.0,34.2,46.2,42.6,39.6,81.0,17.4,39.0,55.8,115.2,64.72307692307693,830.6437869822486,90.6,60.1,44.4,56.85
96.3,48.0,95.7,127.2,42.3,51.6,79.5,73.5,32.4,47.4,43.2,38.7,81.0,15.299999999999999,39.0,62.1,116.4,65.90769230769232,835.814201183432,91.7,61.3875,45.3,58.2
97.2,51.0,97.8,127.8,43.2,53.4,80.0,80.0,30.6,48.6,43.8,37.8,81.0,13.2,39.0,68.4,117.6,67.0923076923077,840.9846153846154,92.8,62.675,46.2,59.55
98.1,54.0,99.9,128.4,44.1,55.2,80.5,86.5,28.8,49.8,44.4,36.9,81.0,11.099999999999998,39.0,74.69999999999999,118.8,68.27692307692308,846.1550295857988,93.9,63.9625,47.1,60.9
99.0,57.0,102.0,129.0,45.0,57.0,81.0,93.0,27.0,51.0,45.0,36.0,81.0,9.0,39.0,81.0,120.0,69.46153846153847,851.3254437869822,95.0,65.25,48.0,62.25
96.9,64.5,99.9,120.6,44.1,55.2,80.1,93.0,26.1,51.0,45.6,37.8,77.8,14.4,40.5,82.5,117.3,68.66153846153847,846.8023668639053,90.9,65.4125,48.3,63.675
94.8,72.0,97.8,112.2,43.2,53.4,79.2,93.0,25.2,51.0,46.2,39.6,74.6,19.8,42.0,84.0,114.6,67.86153846153846,842.2792899408283,86.8,65.575,48.6,65.1
92.7,79.5,95.7,103.8,42.3,51.6,78.3,93.0,24.3,51.0,46.8,41.4,71.4,25.200000000000003,43.5,85.5,111.9,67.06153846153846,837.7562130177515,82.7,65.7375,48.9,66.525
90.6,87.0,93.6,95.4,41.4,49.8,77.4,93.0,23.4,51.0,47.4,43.2,68.2,30.6,45.0,87.0,109.2,66.26153846153846,833.2331360946746,78.6,65.9,49.2,67.95
88.5,94.5,91.5,87.0,40.5,48.0,76.5,93.0,22.5,51.0,48.0,45.0,65.0,36.0,46.5,88.5,106.5,65.46153846153847,828.7100591715977,74.5,66.0625,49.5,69.375
86.4,102.0,89.4,78.6,39.6,46.2,75.6,93.0,21.6,51.0,48.6,46.8,61.8,41.400000000000006,48.0,90.0,103.8,64.66153846153847,824.1869822485207,70.4,66.225,49.8,70.8
84.3,109.5,87.3,70.19999999999999,38.7,44.4,74.7,93.0,20.7,51.0,49.2,48.6,58.599999999999994,46.800000000000004,49.5,91.5,101.1,63.86153846153846,819.6639053254438,66.30000000000001,66.3875,50.1,72.225
82.2,117.0,85.2,61.8,37.8,42.6,73.8,93.0,19.8,51.0,49.8,50.4,55.4,52.2,51.0,93.0,98.4,63.06153846153846,815.140828402367,62.2,66.55,50.4,73.65
80.1,124.5,83.1,53.39999999999999,36.9,40.8,72.9,93.0,18.9,51.0,50.4,52.2,52.2,57.6,52.5,94.5,95.7,62.261538461538464,810.6177514792901,58.1,66.7125,50.7,75.075
78.0,132.0,81.0,45.0,36.0,39.0,72.0,93.0,18.0,51.0,51.0,54.0,49.0,63.0,54.0,96.0,93.0,61.46153846153846,806.0946745562131,54.0,66.875,51.0,76.5
