S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
102.0,37.5,57.0,79.5,39.0,120.0,58.5,9.0,77.0,81.5,0.0,67.5,158.0,24.0,24.0,64.5,75.0,68.1923076923077,2754.7455621301774,81.0,68.78571428571428,0.0,46.875
99.0,37.2,58.8,74.4,34.8,136.2,63.0,9.0,75.4,74.8,0.0,70.2,170.8,27.0,27.0,63.6,67.8,69.50769230769231,3030.539644970414,85.44,68.05714285714285,0.0,46.35
96.0,36.9,60.6,69.30000000000001,30.599999999999998,152.39999999999998,67.5,9.0,73.8,68.1,0.0,72.9,183.60000000000002,30.0,30.0,62.7,60.6,70.82307692307693,3306.333727810651,89.88,67.32857142857142,0.0,45.825
93.0,36.6,62.4,64.2,26.4,168.6,72.0,9.0,72.2,61.4,0.0,75.6,196.4,33.0,33.0,61.8,53.4,72.13846153846154,3582.1278106508876,94.32,66.6,0.0,45.3
90.0,36.3,64.2,59.1,22.199999999999996,184.79999999999998,76.5,9.0,70.6,54.699999999999996,0.0,78.3,209.2,36.0,36.0,60.9,46.2,73.45384615384616,3857.921893491124,98.75999999999999,65.87142857142857,0.0,44.775
87.0,36.0,66.0,54.0,18.0,201.0,81.0,9.0,69.0,48.0,0.0,81.0,222.0,39.0,39.0,60.0,39.0,74.76923076923077,4133.715976331361,103.2,65.14285714285714,0.0,44.25
88.2,38.1,65.1,48.6,24.6,185.7,81.9,12.0,69.0,48.0,0.0,81.0,222.0,36.0,44.7,58.2,39.0,74.16923076923078,4002.7313609467456,100.38,66.04285714285714,0.0,44.475
89.4,40.2,64.2,43.2,31.2,170.4,82.8,15.0,69.0,48.0,0.0,81.0,222.0,33.0,50.4,56.4,39.0,73.56923076923077,3871.7467455621304,97.56,66.94285714285714,0.0,44.7
90.6,42.3,63.3,37.8,37.8,155.1,83.7,18.0,69.0,48.0,0.0,81.0,222.0,30.0,56.1,54.6,39.0,72.96923076923078,3740.7621301775152,94.74000000000001,67.84285714285714,0.0,44.925
91.8,44.4,62.4,32.4,44.4,139.8,84.6,21.0,69.0,48.0,0.0,81.0,222.0,27.0,61.8,52.8,39.0,72.36923076923077,3609.7775147928996,91.92,68.74285714285713,0.0,45.15
93.0,46.5,61.5,27.0,51.0,124.5,85.5,24.0,69.0,48.0,0.0,81.0,222.0,24.0,67.5,51.0,39.0,71.76923076923077,3478.792899408284,89.1,69.64285714285714,0.0,45.375
94.2,48.6,60.6,21.599999999999994,57.599999999999994,109.19999999999999,86.4,27.0,69.0,48.0,0.0,81.0,222.0,21.0,73.2,49.2,39.0,71.16923076923078,3347.808284023669,86.28,70.54285714285714,0.0,45.6
95.4,50.7,59.7,16.199999999999996,64.19999999999999,93.89999999999999,87.3,30.0,69.0,48.0,0.0,81.0,222.0,18.0,78.9,47.4,39.0,70.56923076923077,3216.8236686390537,83.46000000000001,71.44285714285714,0.0,45.825
96.6,52.8,58.8,10.799999999999997,70.8,78.6,88.2,33.0,69.0,48.0,0.0,81.0,222.0,15.0,84.6,45.6,39.0,69.96923076923078,3085.839053254438,80.64,72.34285714285714,0.0,46.05
97.8,54.900000000000006,57.9,5.399999999999999,77.4,63.29999999999998,89.1,36.0,69.0,48.0,0.0,81.0,222.0,12.0,90.30000000000001,43.8,39.0,69.36923076923077,2954.8544378698225,77.82,73.24285714285713,0.0,46.275
99.0,57.0,57.0,0.0,84.0,48.0,90.0,39.0,69.0,48.0,0.0,81.0,222.0,9.0,96.0,42.0,39.0,68.76923076923077,2823.8698224852074,75.0,74.14285714285714,0.0,46.5
93.9,54.0,57.9,3.0,86.1,45.9,90.0,40.2,69.0,49.6,0.0,79.2,215.5,21.0,96.0,43.2,39.9,68.02307692307693,2690.3810650887576,73.38,73.91428571428571,0.0,50.025
88.8,51.0,58.8,6.0,88.2,43.8,90.0,41.4,69.0,51.2,0.0,77.4,209.0,33.0,96.0,44.4,40.8,67.27692307692308,2556.892307692308,71.76,73.68571428571428,0.0,53.55
83.7,48.0,59.7,9.0,90.3,41.7,90.0,42.6,69.0,52.8,0.0,75.6,202.5,45.0,96.0,45.6,41.7,66.53076923076924,2423.403550295858,70.14,73.45714285714286,0.0,57.075
