S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
9.225000000000001,15.675,7.725,25.425,1.5,6.225,30.0,1.424999999999999,6.875,17.725,0.5249999999999995,15.525,6.075,7.5,46.35,15.375,15.974999999999998,13.477941176470587,484.8865051903115,11.31,10.275,21.299999999999997
9.75,15.75,6.75,27.75,0.0,4.5,30.0,0.0,6.75,16.75,0.0,15.75,6.75,7.5,46.5,12.0,13.5,12.941176470588236,454.00000000000006,11.25,9.333333333333334,19.875
9.525,15.525,6.75,25.2,0.675,4.575,27.675,1.675,6.975,15.6,0.325,14.85,6.525,6.75,43.95,12.6,13.8,12.527941176470588,429.46885813148793,10.8725,9.05,19.275
9.3,15.3,6.75,22.65,1.35,4.65,25.35,3.35,7.2,14.45,0.65,13.95,6.3,6.0,41.4,13.2,14.1,12.114705882352942,404.9377162629758,10.495,8.766666666666667,18.675
9.075,15.075,6.75,20.1,2.0250000000000004,4.725,23.025,5.025,7.425,13.3,0.9750000000000001,13.05,6.075,5.25,38.85,13.8,14.4,11.701470588235294,380.40657439446375,10.1175,8.483333333333334,18.075
8.85,14.85,6.75,17.55,2.7,4.8,20.7,6.7,7.65,12.15,1.3,12.15,5.85,4.5,36.3,14.4,14.7,11.288235294117648,355.8754325259516,9.74,8.200000000000001,17.475
8.625,14.625,6.75,15.0,3.375,4.875,18.375,8.375,7.875,11.0,1.625,11.25,5.625,3.75,33.75,15.0,15.0,10.875,331.3442906574395,9.3625,7.916666666666667,16.875
8.4,14.4,6.75,12.450000000000001,4.050000000000001,4.95,16.049999999999997,10.05,8.1,9.850000000000001,1.9500000000000002,10.35,5.4,3.0,31.200000000000003,15.6,15.3,10.461764705882352,306.8131487889274,8.985,7.633333333333334,16.275
8.175,14.175,6.75,9.900000000000002,4.7250000000000005,5.025,13.724999999999998,11.725,8.325,8.700000000000001,2.275,9.45,5.175,2.25,28.650000000000002,16.2,15.6,10.048529411764706,282.28200692041526,8.6075,7.3500000000000005,15.675
7.95,13.95,6.75,7.350000000000001,5.4,5.1,11.399999999999999,13.4,8.55,7.550000000000001,2.6,8.55,4.95,1.5,26.1,16.8,15.9,9.635294117647058,257.75086505190313,8.23,7.066666666666666,15.075
7.725,13.725,6.75,4.800000000000001,6.075,5.175,9.075,15.075000000000001,8.775,6.4,2.9250000000000003,7.65,4.725,0.75,23.55,17.4,16.2,9.222058823529412,233.219723183391,7.852499999999999,6.783333333333333,14.475000000000001
7.5,13.5,6.75,2.25,6.75,5.25,6.75,16.75,9.0,5.25,3.25,6.75,4.5,0.0,21.0,18.0,16.5,8.808823529411764,208.6885813148789,7.475,6.5,13.875
7.8,12.9,6.75,2.25,6.975,5.475,7.2,15.175,8.65,5.925,3.6,6.75,4.825,0.0,22.425,17.775,18.15,8.977941176470589,212.25034602076124,7.422499999999999,6.683333333333334,14.5875
8.1,12.3,6.75,2.25,7.2,5.7,7.65,13.6,8.3,6.6,3.95,6.75,5.15,0.0,23.85,17.55,19.8,9.147058823529411,215.8121107266436,7.37,6.866666666666667,15.3
