S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
48.0,36.75,28.5,13.5,18.0,63.0,49.75,34.5,31.5,17.25,30.5,31.5,27.75,14.25,21.0,22.5,39.75,31.058823529411764,955.5882352941176,30.545454545454547,47.25,24.375
46.125,34.05,27.675,13.575,18.225,60.0,46.35,33.625,31.5,17.25,29.5,30.6,27.75,13.5,19.575,23.925,41.1,30.254411764705882,919.8515570934255,29.520454545454548,45.75,24.525
44.25,31.35,26.85,13.65,18.45,57.0,42.95,32.75,31.5,17.25,28.5,29.7,27.75,12.75,18.15,25.35,42.45,29.45,884.1148788927335,28.495454545454546,44.25,24.675
42.375,28.65,26.025,13.725,18.675,54.0,39.55,31.875,31.5,17.25,27.5,28.8,27.75,12.0,16.725,26.775,43.8,28.645588235294117,848.3782006920414,27.470454545454547,42.75,24.825
40.5,25.95,25.2,13.8,18.9,51.0,36.15,31.0,31.5,17.25,26.5,27.9,27.75,11.25,15.3,28.2,45.15,27.841176470588234,812.6415224913494,26.445454545454545,41.25,24.975
38.625,23.25,24.375,13.875,19.125,48.0,32.75,30.125,31.5,17.25,25.5,27.0,27.75,10.5,13.875,29.625,46.5,27.036764705882355,776.9048442906574,25.420454545454547,39.75,25.125
36.75,20.549999999999997,23.55,13.95,19.35,45.0,29.35,29.25,31.5,17.25,24.5,26.1,27.75,9.75,12.45,31.05,47.85,26.232352941176472,741.1681660899654,24.395454545454548,38.25,25.275
34.875,17.849999999999998,22.725,14.025,19.575,42.0,25.95,28.375,31.5,17.25,23.5,25.2,27.75,9.0,11.025,32.475,49.2,25.42794117647059,705.4314878892734,23.37045454545455,36.75,25.425
33.0,15.149999999999999,21.9,14.1,19.8,39.0,22.55,27.5,31.5,17.25,22.5,24.3,27.75,8.25,9.6,33.9,50.55,24.623529411764707,669.6948096885814,22.345454545454547,35.25,25.575
31.125,12.45,21.075,14.175,20.025,36.0,19.150000000000002,26.625,31.5,17.25,21.5,23.4,27.75,7.5,8.174999999999999,35.325,51.9,23.819117647058825,633.9581314878893,21.320454545454545,33.75,25.725
29.25,9.75,20.25,14.25,20.25,33.0,15.75,25.75,31.5,17.25,20.5,22.5,27.75,6.75,6.75,36.75,53.25,23.014705882352942,598.2214532871973,20.295454545454547,32.25,25.875
29.925,10.2,20.7,14.25,19.8,32.625,15.975,24.15,30.225,18.075,20.725,25.625,27.575,8.1,8.25,35.775,51.0,23.116176470588236,582.4410034602076,20.636363636363637,31.425,25.78125
30.6,10.65,21.15,14.25,19.35,32.25,16.2,22.55,28.95,18.9,20.95,28.75,27.4,9.45,9.75,34.8,48.75,23.21764705882353,566.660553633218,20.977272727272727,30.6,25.6875
31.275,11.1,21.6,14.25,18.9,31.875,16.425,20.95,27.675,19.725,21.175,31.875,27.225,10.8,11.25,33.825,46.5,23.319117647058825,550.8801038062284,21.31818181818182,29.775,25.59375
31.95,11.55,22.05,14.25,18.45,31.5,16.65,19.35,26.4,20.55,21.4,35.0,27.05,12.15,12.75,32.85,44.25,23.42058823529412,535.0996539792387,21.65909090909091,28.95,25.5
32.625,12.0,22.5,14.25,18.0,31.125,16.875,17.75,25.125,21.375,21.625,38.125,26.875,13.5,14.25,31.875,42.0,23.522058823529413,519.3192041522491,22.0,28.125,25.40625
33.3,12.45,22.95,14.25,17.55,30.75,17.1,16.15,23.85,22.2,21.85,41.25,26.7,14.850000000000001,15.75,30.9,39.75,23.623529411764704,503.5387543252595,22.34090909090909,27.3,25.3125
33.975,12.9,23.4,14.25,17.1,30.375,17.325,14.549999999999999,22.575000000000003,23.025,22.075,44.375,26.525,16.200000000000003,17.25,29.925,37.5,23.724999999999998,487.75830449826987,22.68181818181818,26.475,25.21875
34.65,13.35,23.85,14.25,16.65,30.0,17.55,12.95,21.3,23.85,22.3,47.5,26.35,17.55,18.75,28.95,35.25,23.826470588235292,471.9778546712803,23.022727272727273,25.65,25.125
35.325,13.8,24.3,14.25,16.2,29.625,17.775,11.35,20.025,24.675,22.525,50.625,26.175,18.9,20.25,27.975,33.0,23.927941176470586,456.19740484429065,23.363636363636363,24.825,25.03125
36.0,14.25,24.75,14.25,15.75,29.25,18.0,9.75,18.75,25.5,22.75,53.75,26.0,20.25,21.75,27.0,30.75,24.02941176470588,440.416955017301,23.704545454545453,24.0,24.9375
33.525,14.775,25.725,15.525,16.95,28.125,18.775,9.75,19.95,26.025,22.525,55.65,25.875,19.725,23.25,25.5,31.575,24.307352941176468,458.72716262975774,24.099999999999998,24.0375,25.0125
