S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
153,84,57,72,63,51,99,79,60,51,69,150,0,63,51,42,72,76.0,1529.5384615384617,112.5,63.75,72.57142857142857,52.5,61.5
144,81,123,72,93,51,99,30,34,136,48,120,0,111,81,72,0,79.3076923076923,1857.751479289941,108.0,87.0,66.71428571428571,91.5,40.5
42,96,75,105,57,99,81,30,0,222,27,54,0,54,9,18,30,68.3076923076923,3108.674556213018,73.5,81.75,59.142857142857146,36.0,19.5
18,183,138,36,18,30,156,60,0,222,22,123,0,63,63,18,30,77.38461538461539,5412.390532544379,27.0,92.25,83.28571428571429,40.5,46.5
39,213,156,96,57,51,84,27,19,111,0,105,0,0,81,18,39,73.6923076923077,3629.7514792899406,67.5,119.25,49.42857142857143,9.0,60.0
60,18,54,63,18,27,45,27,36,9,0,36,0,18,99,18,48,30.23076923076923,416.02366863905314,61.5,29.25,21.857142857142858,18.0,73.5
39,63,72,51,66,48,72,57,36,9,0,36,0,9,90,18,48,42.23076923076923,604.3313609467456,45.0,62.25,30.0,13.5,69.0
60,120,18,39,66,57,72,36,46,73,0,70,0,0,48,9,18,50.53846153846154,1005.4792899408285,49.5,65.25,42.42857142857143,4.5,33.0
57,276,0,306,18,18,63,36,108,18,0,84,0,9,42,9,18,75.6923076923077,9502.828402366864,181.5,78.0,44.142857142857146,9.0,30.0
39,198,27,105,9,0,102,36,108,18,0,18,0,30,93,0,84,50.76923076923077,3312.6390532544383,72.0,58.5,40.285714285714285,15.0,88.5
30,0,36,69,18,0,102,48,69,34,96,9,0,0,39,0,84,39.30769230769231,1162.8284023668639,49.5,13.5,51.142857142857146,0.0,61.5
51,21,18,0,9,9,102,48,0,30,52,9,0,9,75,27,18,26.846153846153847,811.6686390532547,25.5,14.25,34.42857142857143,18.0,46.5
30,21,36,9,39,54,165,45,0,30,9,9,0,9,51,48,18,34.38461538461539,1699.775147928994,19.5,37.5,36.857142857142854,28.5,34.5
9,0,9,9,48,45,165,18,9,36,4,4,0,0,63,0,63,27.384615384615383,1829.313609467456,9.0,25.5,33.714285714285715,0.0,63.0
72,0,9,0,9,0,91,18,0,9,0,66,0,45,72,0,81,21.076923076923077,970.2248520710054,36.0,4.5,26.285714285714285,22.5,76.5
63,0,9,9,9,0,9,13,0,9,42,66,57,45,60,81,18,22.0,586.1538461538462,36.0,4.5,28.0,63.0,39.0
30,9,0,9,27,9,36,9,9,25,0,9,28,0,45,18,0,15.384615384615385,134.08284023668642,19.5,11.25,16.571428571428573,9.0,22.5
9,0,48,0,9,9,54,9,9,9,0,0,0,9,36,63,51,12.0,294.92307692307696,4.5,16.5,11.571428571428571,36.0,43.5
0,0,66,33,9,9,18,13,9,9,0,0,0,0,27,54,63,12.76923076923077,318.6390532544379,16.5,21.0,7.0,27.0,45.0
30,0,18,33,60,0,18,9,4,19,0,9,0,0,30,42,0,15.384615384615385,284.5443786982249,31.5,19.5,8.428571428571429,21.0,15.0
39,69,18,9,60,9,18,9,0,30,0,9,0,0,63,42,0,20.76923076923077,472.792899408284,24.0,39.0,9.428571428571429,21.0,31.5
0,69,18,9,9,9,9,9,0,30,0,27,0,0,81,9,0,14.538461538461538,336.24852071005915,4.5,26.25,10.714285714285714,4.5,40.5
0,21,18,0,18,0,45,0,0,30,0,27,0,0,33,0,0,12.23076923076923,215.2544378698225,0.0,14.25,14.571428571428571,0.0,16.5
0,21,18,0,0,93,72,0,0,51,0,9,0,0,36,0,0,20.307692307692307,916.8284023668641,0.0,33.0,18.857142857142858,0.0,18.0
0,0,0,0,9,0,45,9,0,51,0,9,0,0,27,0,9,9.461538461538462,285.0177514792899,0.0,2.25,16.285714285714285,0.0,18.0
