S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
87.0,70.0,112.0,34.0,27.0,117.0,84.0,110.0,103.66666666666667,74.0,66.0,72.0,81.0,50.0,102.0,100.0,98.0,81.62745098039215,2069.594002306805,87.72222222222223,60.5,71.33333333333333
87.0,68.9,113.6,36.4,27.0,116.5,84.6,111.3,100.5,74.2,66.53333333333333,72.83333333333333,81.0,50.2,98.6,93.6,97.4,81.18627450980392,2039.4209919261823,87.03055555555557,61.7,70.8
87.0,67.8,115.2,38.8,27.0,116.0,85.2,112.6,97.33333333333334,74.4,67.06666666666666,73.66666666666667,81.0,50.4,95.2,87.2,96.8,80.74509803921568,2009.2479815455595,86.33888888888889,62.9,70.26666666666667
87.0,66.7,116.8,41.2,27.0,115.5,85.8,113.9,94.16666666666667,74.6,67.6,74.5,81.0,50.6,91.8,80.8,96.2,80.30392156862744,1979.0749711649364,85.64722222222223,64.1,69.73333333333333
87.0,65.6,118.4,43.6,27.0,115.0,86.4,115.2,91.0,74.8,68.13333333333333,75.33333333333333,81.0,50.8,88.4,74.4,95.6,79.86274509803921,1948.9019607843136,84.95555555555556,65.3,69.2
87.0,64.5,120.0,46.0,27.0,114.5,87.0,116.5,87.83333333333334,75.0,68.66666666666666,76.16666666666666,81.0,51.0,85.0,68.0,95.0,79.42156862745097,1918.7289504036908,84.26388888888889,66.5,68.66666666666666
87.0,63.4,121.6,48.4,27.0,114.0,87.6,117.8,84.66666666666667,75.2,69.2,77.0,81.0,51.2,81.6,61.599999999999994,94.4,78.98039215686273,1888.555940023068,83.57222222222222,67.7,68.13333333333333
87.0,62.3,123.2,50.8,27.0,113.5,88.2,119.1,81.5,75.4,69.73333333333333,77.83333333333333,81.0,51.4,78.2,55.199999999999996,93.8,78.5392156862745,1858.382929642445,82.88055555555556,68.9,67.6
87.0,61.2,124.8,53.2,27.0,113.0,88.8,120.4,78.33333333333334,75.6,70.26666666666667,78.66666666666666,81.0,51.6,74.8,48.8,93.2,78.09803921568627,1828.209919261822,82.1888888888889,70.1,67.06666666666666
87.0,60.1,126.4,55.599999999999994,27.0,112.5,89.4,121.7,75.16666666666667,75.8,70.8,79.5,81.0,51.8,71.4,42.4,92.6,77.65686274509802,1798.0369088811992,81.49722222222222,71.3,66.53333333333333
87.0,59.0,128.0,58.0,27.0,112.0,90.0,123.0,72.0,76.0,71.33333333333333,80.33333333333333,81.0,52.0,68.0,36.0,92.0,77.21568627450979,1767.8638985005764,80.80555555555556,72.5,66.0
85.9,62.1,125.8,61.2,28.2,108.5,89.06666666666666,122.76666666666667,71.4,75.33333333333333,71.89999999999999,79.6,81.3,52.8,67.3,37.9,90.4,77.14509803921568,1742.4055363321797,80.46388888888889,73.55,66.26666666666667
84.8,65.2,123.6,64.4,29.4,105.0,88.13333333333334,122.53333333333333,70.8,74.66666666666667,72.46666666666667,78.86666666666666,81.6,53.6,66.6,39.8,88.8,77.07450980392156,1716.9471741637828,80.12222222222222,74.6,66.53333333333333
83.7,68.3,121.4,67.6,30.6,101.5,87.2,122.3,70.2,74.0,73.03333333333333,78.13333333333333,81.9,54.4,65.9,41.7,87.2,77.00392156862745,1691.4888119953862,79.78055555555557,75.65,66.8
82.6,71.4,119.2,70.8,31.8,98.0,86.26666666666667,122.06666666666666,69.6,73.33333333333333,73.6,77.39999999999999,82.2,55.2,65.2,43.6,85.6,76.93333333333332,1666.0304498269895,79.4388888888889,76.7,67.06666666666666
81.5,74.5,117.0,74.0,33.0,94.5,85.33333333333334,121.83333333333334,69.0,72.66666666666666,74.16666666666666,76.66666666666666,82.5,56.0,64.5,45.5,84.0,76.86274509803921,1640.5720876585929,79.09722222222223,77.75,67.33333333333334
80.4,77.6,114.8,77.2,34.2,91.0,84.4,121.60000000000001,68.4,72.0,74.73333333333333,75.93333333333334,82.8,56.8,63.8,47.4,82.4,76.7921568627451,1615.113725490196,78.75555555555556,78.8,67.60000000000001
79.3,80.7,112.6,80.4,35.4,87.5,83.46666666666667,121.36666666666667,67.8,71.33333333333333,75.3,75.2,83.1,57.6,63.1,49.3,80.8,76.72156862745098,1589.6553633217993,78.41388888888889,79.85,67.86666666666667
78.2,83.8,110.4,83.6,36.6,84.0,82.53333333333333,121.13333333333334,67.2,70.66666666666666,75.86666666666666,74.46666666666667,83.4,58.4,62.4,51.2,79.2,76.65098039215687,1564.1970011534027,78.07222222222224,80.9,68.13333333333334
77.1,86.9,108.2,86.8,37.8,80.5,81.60000000000001,120.9,66.6,70.0,76.43333333333334,73.73333333333333,83.7,59.2,61.7,53.099999999999994,77.6,76.58039215686274,1538.7386389850058,77.73055555555557,81.95,68.4
76.0,90.0,106.0,90.0,39.0,77.0,80.66666666666667,120.66666666666667,66.0,69.33333333333333,77.0,73.0,84.0,60.0,61.0,55.0,76.0,76.50980392156863,1513.280276816609,77.3888888888889,83.0,68.66666666666667
77.0,94.0,109.0,89.4,40.7,77.9,81.9,121.66666666666667,68.53333333333333,69.6,77.9,72.2,83.1,58.6,60.2,54.2,78.8,77.33529411764707,1535.60461361015,77.97500000000001,83.2,70.86666666666667
78.0,98.0,112.0,88.8,42.4,78.8,83.13333333333334,122.66666666666667,71.06666666666666,69.86666666666666,78.8,71.4,82.2,57.2,59.4,53.4,81.6,78.16078431372549,1557.928950403691,78.56111111111112,83.4,73.06666666666668
79.0,102.0,115.0,88.2,44.1,79.7,84.36666666666667,123.66666666666667,73.6,70.13333333333333,79.7,70.6,81.3,55.8,58.6,52.6,84.4,78.98627450980392,1580.2532871972319,79.14722222222223,83.6,75.26666666666667
80.0,106.0,118.0,87.6,45.8,80.6,85.60000000000001,124.66666666666667,76.13333333333333,70.39999999999999,80.6,69.8,80.4,54.4,57.8,51.8,87.2,79.81176470588235,1602.577623990773,79.73333333333333,83.8,77.46666666666667
81.0,110.0,121.0,87.0,47.5,81.5,86.83333333333334,125.66666666666666,78.66666666666666,70.66666666666666,81.5,69.0,79.5,53.0,57.0,51.0,90.0,80.63725490196077,1624.9019607843138,80.31944444444446,84.0,79.66666666666667
82.0,114.0,124.0,86.4,49.2,82.4,88.06666666666666,126.66666666666666,81.19999999999999,70.93333333333334,82.4,68.2,78.6,51.6,56.2,50.2,92.8,81.4627450980392,1647.226297577855,80.90555555555557,84.2,81.86666666666667
83.0,118.0,127.0,85.8,50.9,83.3,89.3,127.66666666666666,83.73333333333333,71.2,83.3,67.4,77.7,50.2,55.4,49.4,95.6,82.28823529411764,1669.5506343713957,81.49166666666667,84.4,84.06666666666668
84.0,122.0,130.0,85.2,52.6,84.2,90.53333333333333,128.66666666666666,86.26666666666667,71.46666666666667,84.2,66.6,76.8,48.8,54.6,48.6,98.4,83.11372549019607,1691.8749711649366,82.07777777777778,84.6,86.26666666666668
85.0,126.0,133.0,84.6,54.3,85.1,91.76666666666667,129.66666666666666,88.8,71.73333333333333,85.1,65.8,75.9,47.4,53.8,47.8,101.2,83.9392156862745,1714.1993079584777,82.66388888888889,84.8,88.46666666666667
86.0,130.0,136.0,84.0,56.0,86.0,93.0,130.66666666666666,91.33333333333333,72.0,86.0,65.0,75.0,46.0,53.0,47.0,104.0,84.76470588235293,1736.5236447520185,83.25,85.0,90.66666666666667
88.5,126.0,131.4,80.1,56.3,86.5,94.63333333333333,127.73333333333332,90.39999999999999,71.0,86.9,63.3,72.56666666666666,47.5,53.7,49.0,105.5,84.178431372549,1686.1483275663206,82.80277777777778,84.3,89.60000000000001
91.0,122.0,126.8,76.2,56.6,87.0,96.26666666666667,124.8,89.46666666666667,70.0,87.8,61.6,70.13333333333333,49.0,54.4,51.0,107.0,83.59215686274509,1635.773010380623,82.35555555555555,83.6,88.53333333333333
93.5,118.0,122.2,72.3,56.9,87.5,97.9,121.86666666666666,88.53333333333333,69.0,88.7,59.9,67.7,50.5,55.1,53.0,108.5,83.00588235294117,1585.397693194925,81.90833333333333,82.9,87.46666666666667
96.0,114.0,117.6,68.4,57.2,88.0,99.53333333333333,118.93333333333332,87.6,68.0,89.6,58.2,65.26666666666667,52.0,55.8,55.0,110.0,82.41960784313724,1535.0223760092274,81.46111111111111,82.2,86.4
98.5,110.0,113.0,64.5,57.5,88.5,101.16666666666666,116.0,86.66666666666666,67.0,90.5,56.5,62.83333333333333,53.5,56.5,57.0,111.5,81.83333333333331,1484.6470588235295,81.01388888888889,81.5,85.33333333333334
101.0,106.0,108.4,60.6,57.8,89.0,102.8,113.06666666666666,85.73333333333333,66.0,91.4,54.8,60.4,55.0,57.2,59.0,113.0,81.2470588235294,1434.2717416378318,80.56666666666666,80.8,84.26666666666667
103.5,102.0,103.80000000000001,56.7,58.1,89.5,104.43333333333334,110.13333333333333,84.8,65.0,92.3,53.1,57.96666666666667,56.5,57.9,61.0,114.5,80.66078431372549,1383.896424452134,80.11944444444444,80.1,83.2
106.0,98.0,99.2,52.8,58.4,90.0,106.06666666666666,107.19999999999999,83.86666666666666,64.0,93.2,51.4,55.53333333333333,58.0,58.6,63.0,116.0,80.07450980392156,1333.521107266436,79.67222222222222,79.4,82.13333333333334
108.5,94.0,94.6,48.9,58.7,90.5,107.69999999999999,104.26666666666667,82.93333333333334,63.0,94.1,49.7,53.099999999999994,59.5,59.3,65.0,117.5,79.48823529411763,1283.1457900807384,79.225,78.7,81.06666666666666
111.0,90.0,90.0,45.0,59.0,91.0,109.33333333333333,101.33333333333333,82.0,62.0,95.0,48.0,50.666666666666664,61.0,60.0,67.0,119.0,78.90196078431372,1232.7704728950405,78.77777777777777,78.0,80.0
110.0,83.7,95.5,43.3,60.5,89.7,108.0,94.93333333333332,80.73333333333333,60.333333333333336,93.63333333333333,49.6,50.099999999999994,62.1,61.3,68.9,115.8,78.12549019607842,1316.2717416378318,78.4111111111111,76.65,77.96666666666667
109.0,77.4,101.0,41.6,62.0,88.4,106.66666666666666,88.53333333333333,79.46666666666667,58.666666666666664,92.26666666666667,51.2,49.53333333333333,63.2,62.6,70.8,112.6,77.34901960784313,1399.773010380623,78.04444444444444,75.3,75.93333333333334
108.0,71.1,106.5,39.9,63.5,87.1,105.33333333333333,82.13333333333333,78.2,57.0,90.9,52.8,48.96666666666667,64.3,63.9,72.7,109.4,76.57254901960783,1483.274279123414,77.67777777777778,73.95,73.9
107.0,64.8,112.0,38.2,65.0,85.8,104.0,75.73333333333333,76.93333333333334,55.333333333333336,89.53333333333333,54.4,48.4,65.4,65.2,74.6,106.2,75.79607843137255,1566.7755478662054,77.3111111111111,72.6,71.86666666666666
106.0,58.5,117.5,36.5,66.5,84.5,102.66666666666666,69.33333333333333,75.66666666666666,53.66666666666667,88.16666666666666,56.0,47.83333333333333,66.5,66.5,76.5,103.0,75.01960784313725,1650.2768166089968,76.94444444444443,71.25,69.83333333333333
105.0,52.2,123.0,34.8,68.0,83.2,101.33333333333333,62.93333333333333,74.39999999999999,52.0,86.8,57.6,47.266666666666666,67.6,67.8,78.4,99.8,74.24313725490195,1733.778085351788,76.57777777777777,69.9,67.8
104.0,45.9,128.5,33.1,69.5,81.9,100.0,56.53333333333333,73.13333333333333,50.333333333333336,85.43333333333334,59.2,46.7,68.7,69.1,80.3,96.6,73.46666666666667,1817.279354094579,76.21111111111111,68.55,65.76666666666667
103.0,39.6,134.0,31.4,71.0,80.6,98.66666666666667,50.13333333333333,71.86666666666666,48.66666666666667,84.06666666666666,60.8,46.13333333333333,69.8,70.4,82.2,93.4,72.69019607843137,1900.7806228373704,75.84444444444443,67.2,63.733333333333334
102.0,33.300000000000004,139.5,29.700000000000003,72.5,79.3,97.33333333333333,43.733333333333334,70.6,47.0,82.69999999999999,62.4,45.56666666666666,70.9,71.7,84.1,90.2,71.91372549019609,1984.2818915801618,75.47777777777776,65.85,61.699999999999996
101.0,27.0,145.0,28.0,74.0,78.0,96.0,37.333333333333336,69.33333333333333,45.333333333333336,81.33333333333333,64.0,45.0,72.0,73.0,86.0,87.0,71.13725490196079,2067.783160322953,75.1111111111111,64.5,59.666666666666664
99.7,27.6,144.6,30.0,73.8,79.0,94.8,37.800000000000004,69.6,42.800000000000004,80.0,63.7,45.6,74.7,76.1,85.7,91.2,71.57058823529412,2200.6401384083047,75.54999999999998,64.85,60.13333333333333
