S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
132,129,177,27,159,210,318,162,463,193,0,159,123,66,111,117,60,173.23076923076923,12675.715976331363,79.5,168.75,202.57142857142858,91.5,85.5
84,168,180,18,132,129,258,162,114,123,0,144,165,51,66,105,78,129.0,4202.307692307692,51.0,152.25,138.0,78.0,72.0
138,123,177,27,105,63,144,178,114,123,0,117,165,39,39,102,120,113.38461538461539,2735.005917159764,82.5,117.0,120.14285714285714,70.5,79.5
159,168,186,126,117,96,126,162,121,100,0,120,178,45,39,18,111,127.61538461538461,2154.852071005917,142.5,141.75,115.28571428571429,31.5,75.0
225,159,108,225,90,120,231,162,72,30,0,177,174,27,36,126,87,136.3846153846154,5090.698224852071,225.0,119.25,120.85714285714286,76.5,61.5
156,207,129,147,210,279,267,177,72,30,0,177,174,18,42,126,153,155.76923076923077,6326.946745562132,151.5,206.25,128.14285714285714,72.0,97.5
141,159,96,39,192,213,267,144,127,88,0,181,136,18,57,51,111,137.15384615384616,4672.4378698224855,90.0,165.0,134.71428571428572,34.5,84.0
99,57,126,60,63,165,169,144,174,120,0,111,72,18,57,33,132,104.61538461538461,2532.390532544379,79.5,102.75,112.85714285714286,25.5,94.5
60,183,177,162,75,72,189,166,174,120,0,72,72,36,27,9,48,117.07692307692308,3507.7633136094673,111.0,126.75,113.28571428571429,22.5,37.5
123,105,165,96,93,75,216,207,154,102,0,156,160,36,60,51,78,127.07692307692308,3115.3017751479288,109.5,109.5,142.14285714285714,43.5,69.0
168,93,93,60,129,57,261,207,60,111,0,111,90,60,114,42,90,110.76923076923077,4370.485207100593,114.0,93.0,120.0,51.0,102.0
51,69,156,63,126,48,243,127,60,111,0,111,90,60,132,57,93,96.53846153846153,3400.863905325444,57.0,99.75,106.0,58.5,112.5
60,120,126,117,66,108,243,48,69,97,0,93,90,96,60,57,90,95.15384615384616,2934.745562130178,88.5,105.0,91.42857142857143,76.5,75.0
78,153,114,177,96,114,213,48,87,48,0,48,54,63,18,60,78,94.61538461538461,3263.0059171597636,127.5,119.25,71.14285714285714,61.5,48.0
102,96,96,150,36,75,174,85,87,48,0,93,54,51,45,39,90,84.3076923076923,1907.2899408284027,126.0,75.75,77.28571428571429,45.0,67.5
114,48,45,90,36,42,135,69,82,37,0,75,54,105,39,18,126,63.61538461538461,1191.9289940828403,102.0,42.75,64.57142857142857,61.5,82.5
126,42,57,69,112,18,108,69,36,36,0,66,27,105,51,93,204,58.92307692307692,1344.9940828402366,97.5,57.25,48.857142857142854,99.0,127.5
72,105,57,45,72,9,45,81,36,36,0,66,27,72,36,105,120,50.07692307692308,800.8402366863908,58.5,60.75,41.57142857142857,88.5,78.0
123,162,54,66,126,48,45,66,43,18,0,115,87,99,39,84,123,73.3076923076923,2023.9053254437868,94.5,97.5,53.42857142857143,91.5,81.0
60,165,27,51,117,48,76,66,90,105,0,126,81,87,48,81,81,77.84615384615384,1773.976331360947,55.5,89.25,77.71428571428571,84.0,64.5
60,177,78,72,84,69,117,130,90,105,0,81,81,39,69,54,78,88.0,1552.1538461538462,66.0,102.0,86.28571428571429,46.5,73.5
51,162,57,42,84,63,81,156,64,126,0,54,90,39,42,81,81,79.23076923076923,1935.408284023669,46.5,91.5,81.57142857142857,60.0,61.5
30,129,36,18,192,39,144,156,30,150,0,36,156,48,30,90,87,85.84615384615384,4295.8224852071,24.0,99.0,96.0,69.0,58.5
39,96,45,45,162,18,117,190,30,150,0,36,156,36,42,63,87,83.38461538461539,3829.775147928994,42.0,80.25,97.0,49.5,64.5
69,108,96,72,87,18,117,162,48,88,0,36,109,105,9,63,48,77.6923076923077,1800.5207100591717,70.5,77.25,80.0,84.0,28.5
