S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
81,207,144,60,36,81,330,87,39,63,51,135,117,84,108,9,81,110.07692307692308,6196.686390532546,70.5,117.0,117.42857142857143,46.5,94.5
69,261,237,18,54,81,183,87,51,63,46,108,36,69,111,18,27,99.53846153846153,5596.402366863906,43.5,158.25,82.0,43.5,69.0
57,135,186,42,87,18,9,91,51,63,42,108,36,57,75,27,111,71.15384615384616,2274.284023668639,49.5,106.5,57.142857142857146,42.0,93.0
27,78,186,75,30,21,9,75,45,67,46,187,40,30,48,147,27,68.15384615384616,2991.9763313609474,51.0,78.75,67.0,88.5,37.5
39,96,127,42,111,30,4,75,63,63,51,81,54,42,9,264,18,64.3076923076923,1057.4437869822486,40.5,91.0,55.857142857142854,153.0,13.5
42,120,48,18,210,72,72,76,63,63,63,90,54,84,84,255,0,76.23076923076923,2031.8698224852074,30.0,112.5,68.71428571428571,169.5,42.0
39,105,57,27,57,39,72,57,55,42,75,54,40,30,75,66,30,55.30769230769231,376.21301775147936,33.0,64.5,56.42857142857143,48.0,52.5
60,306,45,60,27,9,18,57,30,51,61,72,57,18,18,18,147,65.61538461538461,5148.39053254438,60.0,96.75,49.42857142857143,18.0,82.5
18,102,27,63,144,9,81,75,30,51,48,72,57,108,18,9,126,59.76923076923077,1248.1775147928995,40.5,70.5,59.142857142857146,58.5,72.0
27,183,27,18,324,9,81,102,28,34,39,36,33,129,9,18,0,72.38461538461539,7309.621301775147,22.5,135.75,50.42857142857143,73.5,4.5
72,543,9,0,99,18,45,102,21,9,30,27,18,39,9,27,21,76.38461538461539,19176.390532544385,36.0,167.25,36.0,33.0,15.0
81,249,9,0,18,63,54,66,21,9,24,36,18,87,9,51,84,49.84615384615385,3894.2840236686397,40.5,84.75,32.57142857142857,69.0,46.5
9,27,36,0,18,9,102,18,34,52,18,9,13,9,9,51,93,26.53846153846154,655.171597633136,4.5,22.5,35.142857142857146,30.0,51.0
18,18,27,21,9,45,102,18,0,63,22,0,0,0,18,9,114,26.384615384615383,773.4674556213018,19.5,24.75,29.285714285714285,4.5,66.0
27,54,0,21,48,45,9,18,0,63,27,0,0,75,18,9,51,24.0,463.84615384615387,24.0,36.75,16.714285714285715,42.0,34.5
9,204,9,9,57,9,9,30,0,51,22,13,13,120,30,9,9,33.46153846153846,2695.1715976331366,9.0,69.75,19.714285714285715,64.5,19.5
9,243,18,249,36,9,36,30,9,0,18,9,27,9,48,18,30,53.30769230769231,6869.289940828402,129.0,76.5,18.428571428571427,13.5,39.0
21,0,9,48,18,9,72,19,9,0,13,36,27,0,27,9,39,21.615384615384617,382.8520710059173,34.5,9.0,25.142857142857142,4.5,33.0
9,9,0,30,0,0,9,9,9,15,9,27,18,0,36,0,57,11.076923076923077,82.22485207100594,19.5,2.25,13.714285714285714,0.0,46.5
9,9,9,9,0,0,0,9,9,30,15,0,18,0,9,0,18,9.0,67.84615384615385,9.0,4.5,11.571428571428571,0.0,13.5
0,0,9,0,36,21,9,4,9,30,21,0,18,0,0,0,9,12.076923076923077,135.76331360946747,0.0,16.5,13.0,0.0,4.5
9,0,18,0,36,0,9,0,4,40,25,0,13,9,30,0,9,11.846153846153847,182.13017751479288,4.5,13.5,13.0,4.5,19.5
18,0,18,0,0,0,13,0,42,18,30,0,0,18,30,9,21,10.692307692307692,178.36686390532546,9.0,4.5,14.714285714285714,13.5,25.5
51,0,9,0,0,0,18,0,42,18,34,0,0,9,9,9,21,13.23076923076923,305.7159763313609,25.5,2.25,16.0,9.0,15.0
42,9,9,0,0,9,9,0,21,18,39,0,4,9,48,0,0,12.307692307692308,186.21301775147933,21.0,6.75,13.0,4.5,24.0
